,Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec,min_time_Gr,min_time,diff,diff_G,diff_G%,SS.
262,Frigo Giulio  ,Rally4,3,Prealpi,10/12/2023,gravel,-,62,375.2,359.5,322.1,53.099999999999966,15.699999999999989,4.367176634214183,03
263,Callegaro Ricc,Rally4,3,Prealpi,10/12/2023,gravel,-,63,375.6,359.5,322.1,53.5,16.100000000000023,4.478442280945765,03
264,Strabello Paol,Rally4,3,Prealpi,10/12/2023,gravel,-,67,379.4,359.5,322.1,57.299999999999955,19.899999999999977,5.535465924895682,03
265,Moretto Federi,Rally4,3,Prealpi,10/12/2023,gravel,-,70,380.4,359.5,322.1,58.299999999999955,20.899999999999977,5.813630041724611,03
266,De Marco Franc,Rally4,3,Prealpi,10/12/2023,gravel,-,71,381.0,359.5,322.1,58.89999999999998,21.5,5.980528511821975,03
267,Mazzonelli A. ,Rally4,3,Prealpi,10/12/2023,gravel,-,72,381.8,359.5,322.1,59.69999999999999,22.30000000000001,6.203059805285122,03
268,Roncadori Stef,Rally4,3,Prealpi,10/12/2023,gravel,-,75,382.3,359.5,322.1,60.19999999999999,22.80000000000001,6.342141863699586,03
269,Foffano Cristi,Rally4,3,Prealpi,10/12/2023,gravel,-,77,382.9,359.5,322.1,60.799999999999955,23.399999999999977,6.509040333796934,03
270,Gabrici Fabio ,Rally4,3,Prealpi,10/12/2023,gravel,-,79,387.0,359.5,322.1,64.89999999999998,27.5,7.649513212795549,03
271,Lovisetto Gian,Rally4,3,Prealpi,10/12/2023,gravel,-,86,394.6,359.5,322.1,72.5,35.10000000000002,9.763560500695416,03
272,De Sanctis F. ,Rally4,3,Prealpi,10/12/2023,gravel,-,98,427.3,359.5,322.1,105.19999999999999,67.80000000000001,18.859527121001392,03
273,Spagnol Jason ,Rally4/R2,3,Prealpi,10/12/2023,gravel,-,31,361.2,361.2,322.1,39.099999999999966,0.0,0.0,03
274,Cappellati Rud,Rally4/R2,3,Prealpi,10/12/2023,gravel,-,43,366.6,361.2,322.1,44.5,5.400000000000034,1.4950166112956904,03
275,Casarotto Andr,Rally4/R2,3,Prealpi,10/12/2023,gravel,-,54,373.3,361.2,322.1,51.19999999999999,12.100000000000023,3.349944629014403,03
276,Possamai Alex ,Rally4/R2,3,Prealpi,10/12/2023,gravel,-,55,373.3,361.2,322.1,51.19999999999999,12.100000000000023,3.349944629014403,03
277,Madrassi Sandr,Rally4/R2,3,Prealpi,10/12/2023,gravel,-,76,382.6,361.2,322.1,60.5,21.400000000000034,5.92469545957919,03
278,Pignani Elia  ,Rally4/R2,3,Prealpi,10/12/2023,gravel,-,81,389.3,361.2,322.1,67.19999999999999,28.100000000000023,7.779623477297902,03
279,Dalla Vecchia ,Rally4/R2,3,Prealpi,10/12/2023,gravel,-,95,418.8,361.2,322.1,96.69999999999999,57.60000000000002,15.946843853820605,03
280,Nardi Devid  -,Rally4/R2 Under 25,3,Prealpi,10/12/2023,gravel,-,35,363.4,363.4,322.1,41.299999999999955,0.0,0.0,03
281,Favero Marco  ,Rally4/R2 Under 25,3,Prealpi,10/12/2023,gravel,-,51,372.1,363.4,322.1,50.0,8.700000000000045,2.3940561364887305,03
287,Ramponi Paolo ,Rally4 Under 25,3,Prealpi,10/12/2023,gravel,-,46,368.6,368.6,322.1,46.5,0.0,0.0,03
288,Penello Andrea,Rally4 Under 25,3,Prealpi,10/12/2023,gravel,-,83,390.7,368.6,322.1,68.59999999999997,22.099999999999966,5.995659251220826,03
347,Cocco Giovanni,Rally4,4,Prealpi,10/12/2023,gravel,-,29,361.1,361.1,319.2,41.900000000000034,0.0,0.0,04
348,Diserò Luca  -,Rally4,4,Prealpi,10/12/2023,gravel,-,30,362.4,361.1,319.2,43.19999999999999,1.2999999999999545,0.3600110772639032,04
349,Prosenc Borut ,Rally4,4,Prealpi,10/12/2023,gravel,-,31,362.9,361.1,319.2,43.69999999999999,1.7999999999999545,0.49847687621156317,04
350,Toffoli Bryan ,Rally4,4,Prealpi,10/12/2023,gravel,-,34,367.3,361.1,319.2,48.10000000000002,6.199999999999989,1.7169759069509798,04
351,Frigo Giulio  ,Rally4,4,Prealpi,10/12/2023,gravel,-,35,367.3,361.1,319.2,48.10000000000002,6.199999999999989,1.7169759069509798,04
352,Gheno Tobia  -,Rally4,4,Prealpi,10/12/2023,gravel,-,38,369.2,361.1,319.2,50.0,8.099999999999966,2.243145942952081,04
