,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
#70,Korhonen Roope  - Viinikka Anssi Ford Fiesta Rally3,RC3,10:26.2,15:06.2,14:09.3,10:22.1,19:23.0,15:10.0,13:49.2,2:49.7,19:08.9,27:44.5,6:40.2,19:32.8,27:44.5 [N],6:52.2,2:50.0,8:59.3,7:46.3,15:41.5,7:35.6
#71,Herranen Toni  - Lukka Mikko Ford Fiesta Rally3,RC3,10:17.7,15:19.6,18:11.3,10:18.5,18:45.0,-,-,-,21:12.2,32:06.7,6:51.4,29:32.8 [N],37:44.5 [N],16:52.2 [N],12:50.0 [N],9:03.4,7:34.8,15:30.5,7:29.4
#71,Herranen Toni  - Lukka Mikko Ford Fiesta Rally3  [SR],RC3,-,-,-,-,-,25:10.0 [N],23:49.2 [N],12:49.7 [N],-,-,-,-,-,-,-,-,-,-,-
#72,Campagnoli Gabriele  - Arena N. Hyundai i20 N Rally2,RC2,-,-,-,-,-,-,-,-,20:40.8,34:19.8,7:07.7,20:47.1 [N],29:07.3 [N],7:06.7,2:51.7,10:45.5,-,-,-
#72,Campagnoli Gabriele  - Arena N. Hyundai i20 N Rally2  [SR],RC2,20:55.3 [N],26:11.2 [N],25:29.2,20:47.1 [N],26:57.0 [N],26:18.3,25:12.7,12:54.5,-,-,-,-,-,-,-,-,-,-,-
#73,László Zoltán  - Zsiros Gábor Škoda Fabia Rally2 evo,RC2,10:55.3,16:11.2,15:29.2,10:47.1,16:57.0,16:18.3,15:12.7,2:54.5,21:14.2,29:22.9,7:19.3,20:41.2,29:22.9 [N],7:37.5,2:54.5,9:24.6,8:06.1,16:28.6,8:06.8
#75,Salin Daniel  - Salin Brigitte Škoda Fabia R5,RC2,11:21.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#76,Fontana Matteo  - Arnaboldi A. Peugeot 208 Rally4,RC4,11:03.1,19:20.8,15:56.0,10:59.1,17:11.7,-,-,-,22:37.3,29:03.4,7:22.2,22:25.0,29:03.4 [N],7:08.0,3:00.4,9:28.3,8:00.8,16:14.8,7:44.3
#76,Fontana Matteo  - Arnaboldi A. Peugeot 208 Rally4  [SR],RC4,-,-,-,-,-,26:09.4 [N],26:10.4 [N],12:58.8 [N],-,-,-,-,-,-,-,-,-,-,-
#77,Serrano Navarro J.  - Galarza Aviles D. Renault Clio Rally4,RC4,11:51.8,17:09.1,16:20.3,11:34.7,18:03.3,16:20.3 [N],16:26.5,3:17.5,22:05.4,31:43.0,7:52.8,22:44.9,31:43.0 [N],8:47.6,3:52.3,10:28.8,8:56.1,19:23.5,9:27.6
#78,Serrano Benalcazar D.  - Serrano Benalcazar J. Peugeot 208 Rally4,RC4,11:37.7,16:56.4,16:29.3,11:41.4,17:27.3,16:29.3 [N],16:10.4,3:10.5,22:08.9,31:45.7,7:51.5,-,-,-,-,9:58.5,8:33.7,17:32.4,8:25.1
#78,Serrano Benalcazar D.  - Serrano Benalcazar J. Peugeot 208 Rally4  [SR],RC4,-,-,-,-,-,-,-,-,-,-,-,30:02.8 [N],38:38.4 [N],16:56.0 [N],12:58.6 [N],-,-,-,-
