,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
#50,Kelly Eamonn - Mohan Conor Ford Fiesta Rally3,RC3,14:16.5,17:52.0,6:26.9,5:37.8,13:53.4,17:48.6,6:18.0,5:41.5,15:10.3,5:19.9,7:18.5,9:55.6,15:12.6,5:23.5,7:09.5,10:23.1,8:25.7,10:02.5,8:16.6,9:43.2
#51,Kohn Filip - Střeska Tomáš Ford Fiesta Rally3,RC3,-,-,-,-,-,-,-,-,15:48.3,5:14.7,7:13.5,9:55.8,15:07.1,5:09.7,7:01.5,13:24.8,8:32.6,10:10.4,8:10.5,9:51.6
#51,Kohn Filip - Střeska Tomáš Ford Fiesta Rally3  [SR],RC3,24:55.5 [N],26:56.4 [N],16:12.5 [N],15:18.5 [N],23:14.2 [N],27:06.4 [N],16:07.7 [N],15:21.4 [N],-,-,-,-,-,-,-,-,-,-,-,-
#52,Ravenščak Martin - Ravenščak D. Ford Fiesta Rally3,RC3,14:55.5,-,-,-,-,-,-,-,15:37.3,5:20.5,7:26.3,10:10.0,15:48.0,5:26.5,7:45.5,11:34.0,11:29.6,-,-,-
#52,Ravenščak Martin - Ravenščak D. Ford Fiesta Rally3  [SR],RC3,-,26:56.4 [N],16:12.5 [N],15:18.5 [N],23:14.2 [N],27:06.4 [N],16:07.7 [N],15:21.4 [N],-,-,-,-,-,-,-,-,-,-,-,-
#53,Majerčák Vlastimil - Slovák J. Ford Fiesta Rally2,RC2,14:52.6,17:36.0,6:27.4,5:38.7,14:14.5,17:57.6,6:37.0,5:57.6,15:32.8,5:17.6,7:28.3,10:00.1,15:30.3,5:17.2,7:28.4,10:23.1,8:16.0,9:53.1,8:16.2,-
#54,Turk Rok - Kacin Blanka Hyundai i20 N Rally2,RC2,14:15.3,16:56.7,6:13.5,5:27.8,13:49.9,17:32.2,6:23.6,6:04.1,14:56.3,5:07.5,7:03.9,9:43.2,14:47.6,5:08.4,7:06.6,9:53.4,8:02.3,9:31.3,7:59.1,9:16.0
#55,László Zoltán - Zsiros Gábor Škoda Fabia Rally2 evo,RC2,15:11.6,18:08.7,6:55.8,6:04.7,15:06.3,18:22.1,7:05.2,6:37.2,16:22.2,5:34.9,7:42.6,10:19.3,16:23.6,5:47.1,7:46.3,11:09.8,8:36.9,10:49.2,8:44.8,10:48.7
#56,Zrinski Aleš - Vidmar Rok Škoda Fabia Rally2 evo,RC2,15:50.7,18:44.2,6:46.1,5:56.8,15:02.1,19:00.8,6:46.5,6:36.7,16:07.7,5:34.2,7:57.0,10:26.6,16:34.2,5:36.6,8:00.0,12:05.8,8:47.0,11:03.0,8:38.8,10:45.1
#57,Cartier Victor - Maye Marine Toyota Yaris Rally2-Kit,RC2,14:34.7,17:17.2,6:31.8,5:39.8,13:57.7,17:43.1,6:28.4,5:53.7,15:25.5,5:28.0,7:17.0,9:48.3,15:15.3,5:30.6,7:18.6,19:53.4,8:24.8,-,-,-
#58,Schwarz Fabio - Rauber Tim Ford Fiesta Rally3,RC3,14:34.1,18:02.3,6:40.8,5:47.2,14:25.0,18:14.4,6:43.2,6:03.4,15:12.1,5:28.7,7:09.1,10:02.0,15:05.9,5:34.3,7:32.6,10:41.6,8:27.3,10:10.4,8:12.2,9:49.3
#59,Fontana Matteo - Arnaboldi A. Peugeot 208 Rally4,RC4,14:48.8,18:12.6,7:04.0,6:16.5,14:31.2,-,-,-,15:48.4,5:41.6,7:38.1,10:20.4,15:32.2,5:35.3,7:14.0,10:27.1,8:28.0,10:07.4,8:14.9,9:48.5
