0,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
No.,Driver / Co-driver Vehicle,Group,,,,,,,,,,,,,,,,,
39,"Boland  Eamonn  /  ""MJ""  ..  Ford Fiesta Rally2 MkII",RC2,32.0,34.0,30.0,32.0,30.0,28.0,33.0,27.0,33.0,27.0,27.0,24.0,24.0,23.0,36.0,28.0,37.0
40,Serderidis  J.  /  Miclotte  F.  Volkswagen Polo Gti R5,RC2,39.0,38.0,33.0,31.0,31.0,29.0,28.0,29.0,29.0,36.0,33.0,23.0,29.0,28.0,26.0,27.0,26.0
41,Morato  Maurizio  /  Bosi  M.  Škoda Fabia Rally2 Evo,RC2,45.0,41.0,66.0,44.0,36.0,63.0,46.0,50.0,51.0,48.0,45.0,43.0,42.0,44.0,39.0,34.0,43.0
43,Chiarani  M.  /  Zanella  Flavio  Škoda Fabia Rally2 Evo,RC2,38.0,45.0,44.0,42.0,38.0,47.0,30.0,36.0,43.0,39.0,36.0,42.0,34.0,34.0,40.0,33.0,35.0
44,Marchino  F.  /  Ometto  P.  Škoda Fabia Rally2 Evo,RC2,41.0,40.0,37.0,40.0,44.0,41.0,39.0,44.0,40.0,44.0,46.0,44.0,40.0,32.0,38.0,40.0,36.0
45,Vossen  Henk  /  Vissenberg  W.  Hyundai i20 N Rally2,RC2,62.0,63.0,57.0,60.0,60.0,60.0,57.0,59.0,65.0,58.0,61.0,59.0,53.0,56.0,63.0,63.0,58.0
46,Černý  Jan  /  Krajča  Ondřej  Ford Fiesta Rally3,RC3,25.0,22.0,25.0,22.0,25.0,22.0,21.0,24.0,27.0,22.0,21.0,17.0,18.0,17.0,18.0,23.0,21.0
47,Rossi  Ghjuvanni  /  Sarmezan  Kylian  Renault Clio Rally3,RC3,23.0,33.0,31.0,35.0,32.0,32.0,27.0,26.0,37.0,34.0,32.0,32.0,27.0,25.0,30.0,29.0,27.0
49,Ganguet  C.  /  Frison  Emmanuel  Škoda Fabia R5,RC2,37.0,37.0,26.0,33.0,34.0,31.0,36.0,32.0,26.0,32.0,28.0,31.0,31.0,30.0,33.0,41.0,38.0
50,Prat  Jérémy  /  Deslauriers  J.  Ford Fiesta R5,RC2,30.0,28.0,19.0,64.0,33.0,30.0,30.0,33.0,30.0,37.0,35.0,28.0,24.0,24.0,29.0,32.0,29.0
51,Ressegaire  N.  /  Pellegrin  E.  Volkswagen Polo Gti R5,RC2,27.0,36.0,65.0,66.0,65.0,65.0,64.0,64.0,34.0,33.0,34.0,30.0,38.0,63.0,50.0,49.0,48.0
52,Cartier  Victor  /  Deliot  Manon  Toyota Yaris R4,RC2,29.0,30.0,23.0,23.0,22.0,25.0,25.0,30.0,28.0,24.0,20.0,19.0,17.0,22.0,23.0,24.0,22.0
53,Berfa  Jordan  /  Thomas  Chloé  Hyundai i20 R5,RC2,19.0,21.0,16.0,19.0,21.0,19.0,18.0,19.0,17.0,19.0,19.0,16.0,16.0,41.0,21.0,20.0,19.0
54,Oberti  Damien  /  Gastinel  J.  Renault Clio Rally3,RC3,31.0,26.0,28.0,25.0,27.0,35.0,26.0,25.0,20.0,23.0,24.0,64.0,63.0,61.0,28.0,25.0,33.0
55,Lafay  Pierre  /  Aubeuf  Benjamin  Renault Clio Rally3,RC3,24.0,29.0,29.0,26.0,23.0,26.0,24.0,22.0,32.0,31.0,31.0,18.0,20.0,19.0,25.0,30.0,34.0
56,Dolce  Renaud  /  Giroud  Quentin  Renault Clio Rally3,RC3,49.0,35.0,19.0,30.0,35.0,24.0,32.0,60.0,21.0,26.0,25.0,29.0,63.0,,,,
57,Chatillon  M.  /  Cornuau  Maxence  Renault Clio Rally3,RC3,21.0,23.0,24.0,24.0,26.0,23.0,22.0,21.0,19.0,28.0,22.0,21.0,22.0,18.0,22.0,19.0,23.0
58,Astier  Raphaël  /  Giraudet  Denis  Alpine A110 RGT,RGT,68.0,,,,,,,,,,,,,,,,
59,Royere  Eric  /  Grenier  Alexis  Alpine A110 RGT,RGT,50.0,50.0,38.0,41.0,42.0,44.0,42.0,45.0,45.0,49.0,48.0,33.0,41.0,40.0,35.0,31.0,31.0
60,Fumal  Armand  /  Escartefigue  J.  Alpine A110 RGT,RGT,51.0,51.0,40.0,37.0,66.0,66.0,66.0,66.0,42.0,43.0,49.0,47.0,39.0,35.0,49.0,42.0,41.0
61,Baffoun  P.  /  Dupuy  Margot  Alpine A110 RGT,RGT,40.0,48.0,47.0,36.0,41.0,40.0,41.0,40.0,46.0,39.0,41.0,39.0,33.0,39.0,51.0,35.0,32.0
