0,,,,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time
ss,,,,1,2,3,4,5,6,7,8,9,10,11,12,13
No.,Crew,Group,Race,,,,,,,,,,,,,
56,Bottarelli,RC2,Roma Capitale,00:00:59.5,00:06:46.2,00:20:16.3,00:04:26.3,00:06:43.6,00:20:08.1,00:04:24.8,00:03:45.8,00:04:31.6,00:17:47.3,00:04:28.8,00:19:51.4,00:03:45.8
57,Ferrarotti,RC2,Roma Capitale,00:01:02.9,00:06:53.1,00:20:26.7,00:04:31.5,00:06:50.9,00:20:10.5,00:04:30.0,00:03:51.3,00:04:41.8,00:18:08.1,00:04:36.7,00:18:00.7,00:03:49.3
58,Avbelj  Bo,RC2,Roma Capitale,00:00:59.8,00:06:41.8,00:19:58.9,00:04:26.2,00:06:41.7,00:19:53.2,00:04:24.7,00:03:44.4,00:04:31.3,00:17:31.5,00:04:29.6,00:17:32.6,00:03:43.6
59,Aragno  F.,RC2,Roma Capitale,00:00:57.7,00:06:53.2,00:20:39.9,00:04:28.9,00:06:50.6,00:20:12.1,00:04:27.4,00:03:49.3,00:04:41.7,00:18:19.6,00:04:37.0,00:18:26.4,00:03:50.0
70,Mauri  Mau,RC2,Roma Capitale,00:01:01.8,00:07:04.5,00:21:17.6,00:04:36.7,00:07:07.1,00:21:24.6,00:04:35.2,00:03:55.7,00:04:59.2,00:19:06.1,00:04:49.8,00:19:22.7,00:03:57.2
71,Brazzoli  ,RC2,Roma Capitale,00:01:04.6,00:07:11.7,00:21:41.8,00:04:45.0,00:07:14.2,00:21:22.3,00:04:43.5,00:04:03.7,00:05:04.8,00:18:56.3,00:04:54.8,00:19:10.8,00:04:04.5
72,Angelucci ,RC2,Roma Capitale,00:01:03.4,00:07:04.8,00:29:28.6,00:14:16.9,00:16:35.5,00:29:22.9,00:14:15.7,00:03:59.1,00:04:54.4,00:18:40.8,00:04:51.6,00:27:45.3,-
73,Caires  Mi,RC2,Roma Capitale,00:01:02.1,00:07:14.1,00:21:21.4,00:04:42.3,00:07:33.2,00:28:25.8,00:14:15.7,00:04:03.9,00:05:02.0,00:19:14.7,00:04:59.9,00:19:34.8,00:04:04.1
74,Manole  Mi,RC2,Roma Capitale,00:01:08.1,00:07:29.3,00:22:08.9,00:04:56.1,00:07:31.6,00:22:06.8,00:04:54.6,00:04:07.5,00:05:01.5,00:19:18.2,00:05:04.6,00:19:19.0,00:04:10.9
75,László  Z.,RC2,Roma Capitale,00:01:04.7,00:07:17.5,00:21:51.0,00:04:46.9,00:07:23.0,00:21:58.3,00:04:45.4,00:04:05.2,00:05:02.7,00:19:17.9,00:04:58.0,00:19:04.9,00:03:59.7
76,Tiramani  ,RC2,Roma Capitale,00:01:01.9,00:07:13.3,00:20:40.6,00:04:28.7,00:06:58.0,00:20:33.5,00:04:27.2,00:03:52.0,00:04:45.4,00:18:36.6,00:04:42.1,00:18:13.2,00:03:49.6
77,Perosino  ,RC2,Roma Capitale,00:01:21.6,00:08:00.7,00:23:49.3,00:04:42.3,00:07:48.3,00:29:22.9,00:14:15.7,00:04:22.7,00:05:31.9,00:21:11.8,-,-,-
78,Ragnoli  I,RC3,Roma Capitale,00:01:12.9,00:08:22.5,00:23:49.7,00:05:11.7,00:07:58.0,00:22:56.8,00:05:10.2,00:04:25.7,00:05:23.4,00:21:07.0,00:05:26.3,00:21:38.1,00:04:37.1
79,Pisani  G.,RC4,Roma Capitale,00:01:03.6,00:07:15.0,00:21:22.8,00:04:43.9,00:07:06.4,00:21:08.9,00:04:42.4,00:03:59.5,00:04:51.6,00:18:44.3,00:04:49.0,00:18:57.9,00:04:01.3
80,Farina  Fa,RC4,Roma Capitale,00:01:05.9,00:07:15.4,00:21:26.7,00:04:41.5,00:07:11.3,00:21:17.8,00:04:40.0,00:04:03.6,00:04:52.7,00:19:01.3,00:04:52.4,00:18:59.1,00:04:01.7
81,Lucchesi  ,RC4,Roma Capitale,00:01:06.7,00:07:13.5,00:21:21.2,00:04:56.5,00:07:10.6,00:22:07.9,00:14:40.0,-,-,-,-,-,-
82,Cambiaghi ,RC4,Roma Capitale,00:01:04.5,00:07:14.2,00:21:38.7,00:04:46.3,00:07:14.0,00:21:33.4,00:04:44.8,00:04:01.5,00:04:55.4,00:19:00.3,00:04:53.0,00:24:06.7,00:04:05.2
83,Cardi  Céd,RC4,Roma Capitale,00:01:09.6,00:07:22.7,00:22:16.6,00:04:55.3,00:07:18.8,00:22:00.9,00:04:53.8,00:04:12.0,00:05:04.5,00:19:27.2,00:04:59.5,00:19:18.2,00:04:06.5
84,Di Pietro ,RC4,Roma Capitale,00:01:07.5,00:07:16.7,00:21:54.9,00:04:46.3,00:07:12.5,00:21:43.2,00:04:44.8,00:04:02.3,00:04:57.1,00:19:02.1,00:04:57.8,-,-
85,Rendina  M,RC4,Roma Capitale,00:01:06.0,00:07:22.9,00:21:53.8,00:04:48.1,00:07:19.2,00:21:52.8,00:04:46.6,00:04:06.3,00:05:02.8,00:19:25.5,00:05:03.8,00:19:32.5,00:04:06.5
86,Cazzaro  N,RC4,Roma Capitale,00:01:10.0,00:07:19.1,00:21:37.1,00:04:46.6,00:07:22.6,00:21:40.0,00:04:45.1,00:04:07.0,00:05:00.7,00:19:07.0,00:05:14.3,00:19:12.8,00:04:39.3
87,Fiore  Ema,RC4,Roma Capitale,00:01:17.1,00:07:25.2,00:22:10.5,00:04:55.4,00:07:26.2,00:22:18.5,00:04:53.9,00:04:10.6,00:05:11.5,00:19:47.9,00:05:05.6,00:20:00.7,00:04:11.6
88,Nember  Gr,RC4,Roma Capitale,00:01:09.0,00:07:47.9,00:23:05.5,00:05:02.7,00:07:48.4,00:22:45.8,00:05:01.2,00:04:16.7,00:05:27.5,00:20:39.6,00:05:31.6,00:20:41.9,00:04:25.9
89,Weigert  T,RC4,Roma Capitale,00:01:13.2,00:07:56.1,00:23:08.5,00:05:17.7,00:07:57.9,00:23:19.5,00:05:16.2,00:04:16.3,00:05:20.8,00:20:27.9,00:05:27.2,-,-
90,Irlacher  ,RC4,Roma Capitale,00:01:11.7,00:07:38.3,00:22:43.6,00:05:05.4,00:07:59.5,00:22:46.9,00:05:03.9,00:04:17.4,00:05:23.9,00:20:33.8,00:05:17.8,00:20:16.2,00:04:17.5
91,Oprea  Cri,RC4,Roma Capitale,00:01:24.2,00:08:02.0,00:24:54.4,00:05:32.4,00:08:11.8,00:24:21.6,00:05:30.9,00:04:31.3,00:05:33.3,00:21:13.0,00:05:31.6,-,-
92,Carra  Sar,RC4,Roma Capitale,00:01:11.5,00:07:43.8,00:23:06.8,00:05:09.8,00:07:48.5,00:23:37.2,00:05:08.3,00:04:21.5,00:05:28.4,00:20:56.4,00:05:29.8,00:20:47.7,00:04:29.4
93,Turri  Gia,RC4,Roma Capitale,00:01:14.4,00:07:52.8,00:24:37.9,00:04:56.5,00:17:06.4,00:31:08.9,00:14:40.0,-,-,-,-,-,-
94,Pesavento ,RC5,Roma Capitale,00:01:20.8,00:07:36.0,00:22:42.2,00:04:56.5,00:07:32.7,00:22:31.3,00:04:55.0,00:04:14.6,00:05:16.9,00:19:51.8,00:05:04.8,00:24:22.8,00:04:14.3
95,Pederzani ,RC5,Roma Capitale,00:01:09.2,00:07:37.4,00:22:38.4,00:04:59.2,00:07:34.8,00:22:28.1,00:04:57.7,00:04:12.7,00:05:09.4,00:19:51.0,00:05:07.3,00:19:59.6,00:04:17.3
96,Nerobutto ,RC5,Roma Capitale,00:01:09.1,00:07:44.5,00:22:41.5,00:04:59.4,00:07:40.9,00:22:40.0,00:05:50.1,00:04:19.4,00:05:20.5,00:20:09.7,00:05:19.8,00:24:22.9,00:04:22.2
97,Iani  Igor,RC5,Roma Capitale,00:01:07.9,00:07:45.0,00:22:41.1,00:05:01.1,00:09:07.0,00:22:26.9,00:04:59.6,00:04:16.4,00:05:14.3,00:20:06.2,00:05:06.7,00:19:49.5,00:04:18.6
98,Scannella ,RC5,Roma Capitale,00:01:07.6,00:07:42.9,00:22:31.5,00:04:59.9,00:07:41.7,00:22:36.8,00:04:58.4,00:04:15.3,00:05:14.6,00:19:55.3,00:05:10.4,00:19:43.6,00:04:22.3
99,Dei Ceci  ,RC5,Roma Capitale,00:01:10.6,00:07:43.5,00:22:45.5,00:05:02.3,00:07:39.9,00:22:52.1,00:05:00.8,00:04:19.2,00:05:17.5,00:19:44.5,00:05:08.9,00:19:46.7,00:04:24.4
100,Doretto  M,RC5,Roma Capitale,00:01:11.7,00:07:47.6,00:22:53.1,00:05:09.9,00:07:45.6,00:22:57.3,00:05:08.4,00:04:15.9,00:05:17.8,00:20:10.9,00:05:18.7,00:20:03.1,00:04:17.9
101,Peduzzi  F,RC5,Roma Capitale,00:01:12.0,00:07:53.5,00:23:06.2,00:05:06.8,00:07:50.8,00:32:11.3,00:14:53.3,-,-,-,-,-,-
102,Zanin  Mar,RC5,Roma Capitale,00:01:08.1,00:07:53.6,00:23:17.8,00:05:12.9,00:07:46.5,00:23:05.4,00:05:11.4,00:04:20.3,00:05:15.2,00:20:21.9,00:05:14.3,00:20:29.3,00:04:14.6
103,La Notte  ,RC5,Roma Capitale,00:01:10.3,00:08:12.0,00:24:40.2,00:05:31.0,00:08:13.3,00:24:49.1,00:05:29.5,00:04:30.8,00:05:51.3,00:21:49.4,00:05:48.8,-,-
104,Campagna  ,RC5,Roma Capitale,00:01:10.2,00:08:38.4,00:22:29.7,00:05:07.8,00:07:41.7,00:22:15.0,00:05:06.3,-,-,-,-,-,-
105,De Antoni ,RC5,Roma Capitale,00:01:06.6,00:07:54.8,00:22:06.7,00:04:54.8,00:07:31.1,00:22:11.3,00:04:53.3,-,-,-,-,-,-
106,Gonella  A,RC5,Roma Capitale,00:01:07.8,00:07:37.6,00:22:44.5,00:05:05.0,00:07:42.8,00:22:51.9,00:05:03.5,-,-,-,-,-,-
