,Pos.,Pilote / Co-pilote,Voiture,#,Temps,Écart,ss
17,18, Erik CAIS Petr TESÍNSKÝ,Skoda Fabia RS,27,00:17:27.3,+00:01:16.5,2
18,19, Sean JOHNSTON Alexander KIHURANI,Citroen C3,29,00:17:34.5,+00:01:23.7,2
19,20, Grégoire MUNSTER Louis LOUKA,Ford Fiesta MkII,25,00:17:36.8,+00:01:26,2
20,21, Matteo GAMBA Nicolò GONELLA,Skoda Fabia Evo,52,00:17:41,+00:01:30.2,2
21,22, Joshua MCERLEAN John ROWAN,Hyundai i20 N,31,00:17:43.2,+00:01:32.4,2
22,23, Alejandro CACHÓN Alejandro LÓPEZ,Citroen C3,35,00:17:46.6,+00:01:35.8,2
23,24, Mauro MIELE Luca BELTRAME,Skoda Fabia RS,36,00:17:54.4,+00:01:43.6,2
24,25, Olivier BURRI Anderson LEVRATTI,Hyundai i20 N,38,00:17:57.3,+00:01:46.5,2
25,26, Alessandro GINO Daniele MICHI,Citroen C3,53,00:18:02.1,+00:01:51.3,2
26,27, Bruno RIBERI Florian HAUT-LABOURDETTE,Skoda Fabia Evo,59,00:18:09.2,+00:01:58.4,2
27,28, William CREIGHTON Liam REGAN,Hyundai i20 N,32,00:18:09.5,+00:01:58.7,2
28,29, Daniel ALONSO Adrián PÉREZ,Citroen C3,41,00:18:12.5,+00:02:01.7,2
29,30, Jonathan HIRSCHI Michaël VOLLUZ,Volkswagen Polo GTI,51,00:18:13.8,+00:02:03,2
30,31, Luc PISTACHI Laëtitia AUTHIER,Skoda Fabia Evo,57,00:18:21.3,+00:02:10.5,2
31,32, Johannes KEFERBÖCK Ilka MINOR,Skoda Fabia Evo,39,00:18:24.4,+00:02:13.6,2
32,33, Romain HAUT-LABOURDETTE Fabien TARDITO,Skoda Fabia,58,00:18:38.2,+00:02:27.4,2
33,34, Oliver SOLBERG Elliott EDMONDSON,Skoda Fabia RS,23,00:18:43.4,+00:02:32.6,2
34,35, Philippe BAFFOUN Charlyne QUARTINI,Citroen C3,54,00:18:51.5,+00:02:40.7,2
35,36, Loïc PANAGIOTIS Caroline GODDI,Alpine A110,67,00:18:56,+00:02:45.2,2
36,37, Christian MERLI Marco ZORTEA,Skoda Fabia Evo,49,00:18:57.1,+00:02:46.3,2
37,38, Simone NIBOLI Battista BRUNETTI,Skoda Fabia Evo,46,00:19:01,+00:02:50.2,2
38,39, Fabrizio ARENGI Massimiliano BOSI,Skoda Fabia Evo,48,00:19:10.1,+00:02:59.3,2
39,40, Grégory FONTALBA Stéphan HERMET,Alpine A110,65,00:19:16.1,+00:03:05.3,2
40,41, Zoltán LÁSZLÓ Gábor ZSIROS,Skoda Fabia Evo,61,00:19:16.7,+00:03:05.9,2
41,42, Frédéric ROSATI Philippe MARCHETTO,Hyundai i20 N,44,00:19:19.6,+00:03:08.8,2
42,43, Ghjuvanni ROSSI Maxime MARTINI,Peugeot 208 Rally4,78,00:19:19.7,+00:03:08.9,2
43,44, Wolfgang IRLACHER Elke IRLACHER,Peugeot 208 Rally4,68,00:19:28.4,+00:03:17.6,2
44,45, Pierre PERGOLA Fabrice CORONA,Volkswagen Polo GTI,62,00:19:29.7,+00:03:18.9,2
45,46, Baudouin BAUGÉ Nicolas BLANC,Peugeot 208 Rally4,71,00:19:33,+00:03:22.2,2
46,47, Eamonn BOLAND MJ ,Citroen C3,42,00:19:36.2,+00:03:25.4,2
47,48, Jean Charles ALBERTINI Patrick CHIAPPE,Skoda Fabia Evo,56,00:19:36.5,+00:03:25.7,2
48,49, Jourdan SERDERIDIS Frédéric MICLOTTE,Ford Puma Rally1 HYBRID,9,00:19:45.1,+00:03:34.3,2
49,50, Pierre TANCI Sébastien MALET,Skoda Fabia,60,00:19:48.2,+00:03:37.4,2
50,51, Yanis DESANGLES Nicolas THERON,Skoda Fabia,55,00:19:50.4,+00:03:39.6,2
51,52, Mickaël PRÉVALET Jofrey COURTET,Peugeot 208 Rally4,76,00:19:51.3,+00:03:40.5,2
52,53, Silvano PATERA Stefano TIRABOSCHI,Skoda Fabia Evo,45,00:20:01.5,+00:03:50.7,2
53,54, David FERRARO Michel CORNEGLIO,Alpine A110,66,00:20:03,+00:03:52.2,2
54,55, Lorenzo BONTEMPELLI Giovanni PINA,Skoda Fabia Evo,40,00:20:07.3,+00:03:56.5,2
55,56, Filippo MARCHINO Pietro Elia OMETTO,Skoda Fabia,47,00:20:08.6,+00:03:57.8,2
56,57, Eric ROYERE Gilbert DINI,Alpine A110,64,00:20:09.8,+00:03:59,2
57,58, Massimiliano PEDALÀ Denis PICENO,Opel Corsa Rally4,73,00:20:19.3,+00:04:08.5,2
58,59, Sebastiano CIATO Andrea BUDOIA,Peugeot 208 Rally4,75,00:20:37.9,+00:04:27.1,2
59,60, Nicolas RESSEGAIRE Marina MICHELI,Renault Clio RS Line,84,00:20:41.2,+00:04:30.4,2
60,61, Matteo FONTANA Alessandro ARNABOLDI,Peugeot 208 Rally4,74,00:20:45,+00:04:34.2,2
61,62, Jérémy PRAT Yves SEMETE,Renault Clio RS Line,82,00:20:46,+00:04:35.2,2
62,63, Jérôme AYMARD Sandrine AYMARD,Renault Clio RS,80,00:20:53.4,+00:04:42.6,2
63,64, Christophe BERARD Christophe BERNABO,Renault Clio RS Line,85,00:21:05.4,+00:04:54.6,2
64,65, Lilian VIALLE Manuel GHIRARDELLO,Renault Clio RS Line,83,00:21:21.7,+00:05:10.9,2
65,66, Gilles MICHELLIER Christophe RICHARD,Peugeot 208 Rally4,79,00:21:26,+00:05:15.2,2
66,67, Grégory DAL ZOTTO Hervé DUBREUIL,Peugeot 208 Rally4,70,00:21:31.3,+00:05:20.5,2
67,68, Giorgio MARAZZATO Elisa SOMMARIVA,Peugeot 208,77,00:21:39.7,+00:05:28.9,2
68,69, Julien CHARNAY Maxime GOMEZ,Renault Clio RS Line,87,00:21:50.9,+00:05:40.1,2
69,70, Henk VOSSEN Annemieke HULZEBOS,Ford Fiesta,50,00:21:51.7,+00:05:40.9,2
70,71, Jean-Paul PALMERO Mattia PASTORINO,Peugeot 208 Rally4,81,00:23:08.8,+00:06:58,2
71,72, Richard FRAU Stephane MARQUEZ,Alpine A110,63,00:23:11.4,+00:07:00.6,2
72,73, Jérémie MALLARD Alexis MAREST-CECCALDI,Ford Fiesta,72,00:24:06.6,+00:07:55.8,2
73,74, Marc DESSI Pamela DESSI,Renault Clio RS Line,86,00:24:47.9,+00:08:37.1,2
74,75, Sami PAJARI Enni MÄLKÖNEN,Skoda Fabia RS,30,,+,2
0,1, Sébastien OGIER Vincent LANDAIS,Toyota GR Yaris Rally1 HYBRID,17,00:09:54.7,+00:00:00,3
1,2, Elfyn EVANS Scott MARTIN,Toyota GR Yaris Rally1 HYBRID,33,00:09:57.9,+00:00:03.2,3
2,3, Kalle ROVANPERÄ Jonne HALTTUNEN,Toyota GR Yaris Rally1 HYBRID,69,00:10:00.8,+00:00:06.1,3
3,4, Thierry NEUVILLE Martijn WYDAEGHE,Hyundai i20 N Rally1 HYBRID,11,00:10:02.5,+00:00:07.8,3
4,5, Ott TÄNAK Martin JÄRVEOJA,Ford Puma Rally1 HYBRID,8,00:10:02.7,+00:00:08,3
5,6, Pierre-Louis LOUBET Nicolas GILSOUL,Ford Puma Rally1 HYBRID,7,00:10:02.9,+00:00:08.2,3
6,7, Daniel SORDO Candido CARRERA,Hyundai i20 N Rally1 HYBRID,6,00:10:07.5,+00:00:12.8,3
7,8, Takamoto KATSUTA Aaron JOHNSTON,Toyota GR Yaris Rally1 HYBRID,18,00:10:09.1,+00:00:14.4,3
8,9, Esapekka LAPPI Janne FERM,Hyundai i20 N Rally1 HYBRID,4,00:10:12.8,+00:00:18.1,3
9,10, Oliver SOLBERG Elliott EDMONDSON,Skoda Fabia RS,23,00:10:26.5,+00:00:31.8,3
10,11, Yohan ROSSEL Arnaud DUNAND,Citroen C3,21,00:10:30.4,+00:00:35.7,3
11,12, Nikolay GRYAZIN Konstantin ALEKSANDROV,Skoda Fabia RS,24,00:10:31.1,+00:00:36.4,3
12,13, Marco BULACIA Axel CORONADO,Skoda Fabia RS,26,00:10:34.3,+00:00:39.6,3
13,14, Christopher INGRAM Craig DREW,Skoda Fabia Evo,28,00:10:35.1,+00:00:40.4,3
14,15, Stéphane LEFEBVRE Andy MALFOY,Citroen C3,22,00:10:36,+00:00:41.3,3
15,16, Erik CAIS Petr TESÍNSKÝ,Skoda Fabia RS,27,00:10:36.1,+00:00:41.4,3
16,17, Alejandro CACHÓN Alejandro LÓPEZ,Citroen C3,35,00:10:39.7,+00:00:45,3
17,18, Pepe LÓPEZ Borja ROZADA,Hyundai i20 N,34,00:10:40.6,+00:00:45.9,3
18,19, Adrien FOURMAUX Alexandre CORIA,Ford Fiesta MkII,20,00:10:42.6,+00:00:47.9,3
19,20, Grégoire MUNSTER Louis LOUKA,Ford Fiesta MkII,25,00:10:43,+00:00:48.3,3
20,21, François DELECOUR Sabrina DE CASTELLI,Skoda Fabia RS,37,00:10:45.5,+00:00:50.8,3
21,22, Joshua MCERLEAN John ROWAN,Hyundai i20 N,31,00:10:51.6,+00:00:56.9,3
22,23, Matteo GAMBA Nicolò GONELLA,Skoda Fabia Evo,52,00:10:51.7,+00:00:57,3
23,24, William CREIGHTON Liam REGAN,Hyundai i20 N,32,00:10:52.1,+00:00:57.4,3
24,25, Sean JOHNSTON Alexander KIHURANI,Citroen C3,29,00:10:53.4,+00:00:58.7,3
25,26, Jonathan HIRSCHI Michaël VOLLUZ,Volkswagen Polo GTI,51,00:10:53.6,+00:00:58.9,3
26,27, Alessandro GINO Daniele MICHI,Citroen C3,53,00:10:59.7,+00:01:05,3
27,28, Olivier BURRI Anderson LEVRATTI,Hyundai i20 N,38,00:11:01.3,+00:01:06.6,3
28,29, Mauro MIELE Luca BELTRAME,Skoda Fabia RS,36,00:11:01.4,+00:01:06.7,3
29,30, Bruno RIBERI Florian HAUT-LABOURDETTE,Skoda Fabia Evo,59,00:11:02.3,+00:01:07.6,3
30,31, Daniel ALONSO Adrián PÉREZ,Citroen C3,41,00:11:11.6,+00:01:16.9,3
31,32, Johannes KEFERBÖCK Ilka MINOR,Skoda Fabia Evo,39,00:11:11.8,+00:01:17.1,3
32,33, Philippe BAFFOUN Charlyne QUARTINI,Citroen C3,54,00:11:13.8,+00:01:19.1,3
33,34, Jourdan SERDERIDIS Frédéric MICLOTTE,Ford Puma Rally1 HYBRID,9,00:11:15.5,+00:01:20.8,3
34,35, Luc PISTACHI Laëtitia AUTHIER,Skoda Fabia Evo,57,00:11:20.6,+00:01:25.9,3
35,36, Loïc PANAGIOTIS Caroline GODDI,Alpine A110,67,00:11:25.2,+00:01:30.5,3
36,37, Eamonn BOLAND MJ ,Citroen C3,42,00:11:25.6,+00:01:30.9,3
37,38, Christian MERLI Marco ZORTEA,Skoda Fabia Evo,49,00:11:27,+00:01:32.3,3
38,39, Grégory FONTALBA Stéphan HERMET,Alpine A110,65,00:11:28.1,+00:01:33.4,3
39,40, Romain HAUT-LABOURDETTE Fabien TARDITO,Skoda Fabia,58,00:11:30,+00:01:35.3,3
40,41, Pierre TANCI Sébastien MALET,Skoda Fabia,60,00:11:31.2,+00:01:36.5,3
41,42, Frédéric ROSATI Philippe MARCHETTO,Hyundai i20 N,44,00:11:32.7,+00:01:38,3
42,43, Lorenzo BONTEMPELLI Giovanni PINA,Skoda Fabia Evo,40,00:11:34.3,+00:01:39.6,3
43,44, Mickaël PRÉVALET Jofrey COURTET,Peugeot 208 Rally4,76,00:11:38.3,+00:01:43.6,3
44,45, Eric ROYERE Gilbert DINI,Alpine A110,64,00:11:39.3,+00:01:44.6,3
45,46, Silvano PATERA Stefano TIRABOSCHI,Skoda Fabia Evo,45,00:11:44.1,+00:01:49.4,3
46,47, Yanis DESANGLES Nicolas THERON,Skoda Fabia,55,00:11:45.4,+00:01:50.7,3
47,48, Pierre PERGOLA Fabrice CORONA,Volkswagen Polo GTI,62,00:11:47.7,+00:01:53,3
48,49, Ghjuvanni ROSSI Maxime MARTINI,Peugeot 208 Rally4,78,00:11:47.8,+00:01:53.1,3
49,50, Baudouin BAUGÉ Nicolas BLANC,Peugeot 208 Rally4,71,00:11:48.2,+00:01:53.5,3
50,51, Jean Charles ALBERTINI Patrick CHIAPPE,Skoda Fabia Evo,56,00:11:49.1,+00:01:54.4,3
51,52, David FERRARO Michel CORNEGLIO,Alpine A110,66,00:11:52.9,+00:01:58.2,3
52,53, Zoltán LÁSZLÓ Gábor ZSIROS,Skoda Fabia Evo,61,00:11:53.5,+00:01:58.8,3
53,54, Simone NIBOLI Battista BRUNETTI,Skoda Fabia Evo,46,00:11:53.7,+00:01:59,3
54,55, Wolfgang IRLACHER Elke IRLACHER,Peugeot 208 Rally4,68,00:12:03.7,+00:02:09,3
55,56, Filippo MARCHINO Pietro Elia OMETTO,Skoda Fabia,47,00:12:04.9,+00:02:10.2,3
56,57, Matteo FONTANA Alessandro ARNABOLDI,Peugeot 208 Rally4,74,00:12:09.5,+00:02:14.8,3
57,58, Sebastiano CIATO Andrea BUDOIA,Peugeot 208 Rally4,75,00:12:10.7,+00:02:16,3
58,59, Massimiliano PEDALÀ Denis PICENO,Opel Corsa Rally4,73,00:12:17,+00:02:22.3,3
59,60, Nicolas RESSEGAIRE Marina MICHELI,Renault Clio RS Line,84,00:12:23.1,+00:02:28.4,3
60,61, Christophe BERARD Christophe BERNABO,Renault Clio RS Line,85,00:12:24.8,+00:02:30.1,3
61,62, Jérôme AYMARD Sandrine AYMARD,Renault Clio RS,80,00:12:34.7,+00:02:40,3
62,63, Henk VOSSEN Annemieke HULZEBOS,Ford Fiesta,50,00:12:38.3,+00:02:43.6,3
63,64, Giorgio MARAZZATO Elisa SOMMARIVA,Peugeot 208,77,00:12:40,+00:02:45.3,3
64,65, Gilles MICHELLIER Christophe RICHARD,Peugeot 208 Rally4,79,00:12:43.3,+00:02:48.6,3
65,66, Lilian VIALLE Manuel GHIRARDELLO,Renault Clio RS Line,83,00:12:43.8,+00:02:49.1,3
66,67, Jérémy PRAT Yves SEMETE,Renault Clio RS Line,82,00:12:48.9,+00:02:54.2,3
67,68, Julien CHARNAY Maxime GOMEZ,Renault Clio RS Line,87,00:12:58.5,+00:03:03.8,3
68,69, Richard FRAU Stephane MARQUEZ,Alpine A110,63,00:13:04.3,+00:03:09.6,3
69,70, Jean-Paul PALMERO Mattia PASTORINO,Peugeot 208 Rally4,81,00:13:25.5,+00:03:30.8,3
70,71, Marc DESSI Pamela DESSI,Renault Clio RS Line,86,00:13:54.6,+00:03:59.9,3
71,72, Jérémie MALLARD Alexis MAREST-CECCALDI,Ford Fiesta,72,00:14:43.4,+00:04:48.7,3
72,73, Fabrizio ARENGI Massimiliano BOSI,Skoda Fabia Evo,48,00:16:06,+00:06:11.3,3
73,74, Grégory DAL ZOTTO Hervé DUBREUIL,Peugeot 208 Rally4,70,00:21:38.3,+00:11:43.6,3
0,1, Sébastien OGIER Vincent LANDAIS,Toyota GR Yaris Rally1 HYBRID,17,00:11:44.7,+00:00:00,4
1,2, Elfyn EVANS Scott MARTIN,Toyota GR Yaris Rally1 HYBRID,33,00:11:46.8,+00:00:02.1,4
2,3, Thierry NEUVILLE Martijn WYDAEGHE,Hyundai i20 N Rally1 HYBRID,11,00:11:49.6,+00:00:04.9,4
3,4, Takamoto KATSUTA Aaron JOHNSTON,Toyota GR Yaris Rally1 HYBRID,18,00:11:50.7,+00:00:06,4
4,5, Ott TÄNAK Martin JÄRVEOJA,Ford Puma Rally1 HYBRID,8,00:11:52.5,+00:00:07.8,4
5,6, Kalle ROVANPERÄ Jonne HALTTUNEN,Toyota GR Yaris Rally1 HYBRID,69,00:11:54.7,+00:00:10,4
6,7, Daniel SORDO Candido CARRERA,Hyundai i20 N Rally1 HYBRID,6,00:11:55.1,+00:00:10.4,4
7,8, Pierre-Louis LOUBET Nicolas GILSOUL,Ford Puma Rally1 HYBRID,7,00:11:55.8,+00:00:11.1,4
8,9, Esapekka LAPPI Janne FERM,Hyundai i20 N Rally1 HYBRID,4,00:12:00.8,+00:00:16.1,4
9,10, Oliver SOLBERG Elliott EDMONDSON,Skoda Fabia RS,23,00:12:17.8,+00:00:33.1,4
10,11, Nikolay GRYAZIN Konstantin ALEKSANDROV,Skoda Fabia RS,24,00:12:20.6,+00:00:35.9,4
11,12, Yohan ROSSEL Arnaud DUNAND,Citroen C3,21,00:12:21.4,+00:00:36.7,4
12,13, Erik CAIS Petr TESÍNSKÝ,Skoda Fabia RS,27,00:12:27,+00:00:42.3,4
13,14, Stéphane LEFEBVRE Andy MALFOY,Citroen C3,22,00:12:27.4,+00:00:42.7,4
14,15, Adrien FOURMAUX Alexandre CORIA,Ford Fiesta MkII,20,00:12:27.6,+00:00:42.9,4
15,16, Pepe LÓPEZ Borja ROZADA,Hyundai i20 N,34,00:12:28,+00:00:43.3,4
16,17, Marco BULACIA Axel CORONADO,Skoda Fabia RS,26,00:12:28.5,+00:00:43.8,4
17,18, Christopher INGRAM Craig DREW,Skoda Fabia Evo,28,00:12:29.4,+00:00:44.7,4
18,19, Alejandro CACHÓN Alejandro LÓPEZ,Citroen C3,35,00:12:30.8,+00:00:46.1,4
19,20, Grégoire MUNSTER Louis LOUKA,Ford Fiesta MkII,25,00:12:35.9,+00:00:51.2,4
20,21, Sean JOHNSTON Alexander KIHURANI,Citroen C3,29,00:12:37.7,+00:00:53,4
21,22, Joshua MCERLEAN John ROWAN,Hyundai i20 N,31,00:12:39,+00:00:54.3,4
22,23, François DELECOUR Sabrina DE CASTELLI,Skoda Fabia RS,37,00:12:43.2,+00:00:58.5,4
23,24, Matteo GAMBA Nicolò GONELLA,Skoda Fabia Evo,52,00:12:47,+00:01:02.3,4
24,25, Jonathan HIRSCHI Michaël VOLLUZ,Volkswagen Polo GTI,51,00:12:48.6,+00:01:03.9,4
25,26, William CREIGHTON Liam REGAN,Hyundai i20 N,32,00:12:49.5,+00:01:04.8,4
26,27, Bruno RIBERI Florian HAUT-LABOURDETTE,Skoda Fabia Evo,59,00:12:51.4,+00:01:06.7,4
27,28, Mauro MIELE Luca BELTRAME,Skoda Fabia RS,36,00:12:58.3,+00:01:13.6,4
28,29, Alessandro GINO Daniele MICHI,Citroen C3,53,00:13:03.1,+00:01:18.4,4
29,30, Jourdan SERDERIDIS Frédéric MICLOTTE,Ford Puma Rally1 HYBRID,9,00:13:10.6,+00:01:25.9,4
30,31, Johannes KEFERBÖCK Ilka MINOR,Skoda Fabia Evo,39,00:13:12,+00:01:27.3,4
31,32, Romain HAUT-LABOURDETTE Fabien TARDITO,Skoda Fabia,58,00:13:13.2,+00:01:28.5,4
32,33, Luc PISTACHI Laëtitia AUTHIER,Skoda Fabia Evo,57,00:13:14.7,+00:01:30,4
33,34, Christian MERLI Marco ZORTEA,Skoda Fabia Evo,49,00:13:19.4,+00:01:34.7,4
34,35, Philippe BAFFOUN Charlyne QUARTINI,Citroen C3,54,00:13:23.2,+00:01:38.5,4
35,36, Loïc PANAGIOTIS Caroline GODDI,Alpine A110,67,00:13:30.9,+00:01:46.2,4
36,37, Eamonn BOLAND MJ ,Citroen C3,42,00:13:31.9,+00:01:47.2,4
37,38, Yanis DESANGLES Nicolas THERON,Skoda Fabia,55,00:13:32.2,+00:01:47.5,4
38,39, Pierre TANCI Sébastien MALET,Skoda Fabia,60,00:13:35,+00:01:50.3,4
39,40, Mickaël PRÉVALET Jofrey COURTET,Peugeot 208 Rally4,76,00:13:36.8,+00:01:52.1,4
40,41, Lorenzo BONTEMPELLI Giovanni PINA,Skoda Fabia Evo,40,00:13:38.2,+00:01:53.5,4
41,42, Zoltán LÁSZLÓ Gábor ZSIROS,Skoda Fabia Evo,61,00:13:40,+00:01:55.3,4
42,43, Frédéric ROSATI Philippe MARCHETTO,Hyundai i20 N,44,00:13:41.8,+00:01:57.1,4
43,44, Silvano PATERA Stefano TIRABOSCHI,Skoda Fabia Evo,45,00:13:42,+00:01:57.3,4
44,45, Fabrizio ARENGI Massimiliano BOSI,Skoda Fabia Evo,48,00:13:42.3,+00:01:57.6,4
45,46, Daniel ALONSO Adrián PÉREZ,Citroen C3,41,00:13:42.6,+00:01:57.9,4
46,47, Jean Charles ALBERTINI Patrick CHIAPPE,Skoda Fabia Evo,56,00:13:45.1,+00:02:00.4,4
47,48, Simone NIBOLI Battista BRUNETTI,Skoda Fabia Evo,46,00:13:45.6,+00:02:00.9,4
48,49, Ghjuvanni ROSSI Maxime MARTINI,Peugeot 208 Rally4,78,00:13:46.2,+00:02:01.5,4
49,50, Baudouin BAUGÉ Nicolas BLANC,Peugeot 208 Rally4,71,00:13:54.5,+00:02:09.8,4
50,51, David FERRARO Michel CORNEGLIO,Alpine A110,66,00:13:55.7,+00:02:11,4
51,52, Eric ROYERE Gilbert DINI,Alpine A110,64,00:14:00.8,+00:02:16.1,4
52,53, Wolfgang IRLACHER Elke IRLACHER,Peugeot 208 Rally4,68,00:14:06.8,+00:02:22.1,4
53,54, Matteo FONTANA Alessandro ARNABOLDI,Peugeot 208 Rally4,74,00:14:15.7,+00:02:31,4
54,55, Massimiliano PEDALÀ Denis PICENO,Opel Corsa Rally4,73,00:14:17.4,+00:02:32.7,4
55,56, Filippo MARCHINO Pietro Elia OMETTO,Skoda Fabia,47,00:14:18.7,+00:02:34,4
56,57, Nicolas RESSEGAIRE Marina MICHELI,Renault Clio RS Line,84,00:14:29.6,+00:02:44.9,4
57,58, Giorgio MARAZZATO Elisa SOMMARIVA,Peugeot 208,77,00:14:32,+00:02:47.3,4
58,59, Jérôme AYMARD Sandrine AYMARD,Renault Clio RS,80,00:14:39.9,+00:02:55.2,4
59,60, Julien CHARNAY Maxime GOMEZ,Renault Clio RS Line,87,00:14:40.3,+00:02:55.6,4
60,61, Sebastiano CIATO Andrea BUDOIA,Peugeot 208 Rally4,75,00:14:41.2,+00:02:56.5,4
61,62, Gilles MICHELLIER Christophe RICHARD,Peugeot 208 Rally4,79,00:14:45.9,+00:03:01.2,4
62,63, Jérémy PRAT Yves SEMETE,Renault Clio RS Line,82,00:14:46.8,+00:03:02.1,4
63,64, Lilian VIALLE Manuel GHIRARDELLO,Renault Clio RS Line,83,00:14:48.3,+00:03:03.6,4
64,65, Henk VOSSEN Annemieke HULZEBOS,Ford Fiesta,50,00:15:04.5,+00:03:19.8,4
65,66, Richard FRAU Stephane MARQUEZ,Alpine A110,63,00:15:20.7,+00:03:36,4
66,67, Christophe BERARD Christophe BERNABO,Renault Clio RS Line,85,00:15:21,+00:03:36.3,4
67,68, Jean-Paul PALMERO Mattia PASTORINO,Peugeot 208 Rally4,81,00:16:00.7,+00:04:16,4
68,69, Marc DESSI Pamela DESSI,Renault Clio RS Line,86,00:16:24.3,+00:04:39.6,4
69,70, Jérémie MALLARD Alexis MAREST-CECCALDI,Ford Fiesta,72,00:16:43.6,+00:04:58.9,4
70,71, Olivier BURRI Anderson LEVRATTI,Hyundai i20 N,38,00:22:17.8,+00:10:33.1,4
71,72, Pierre PERGOLA Fabrice CORONA,Volkswagen Polo GTI,62,00:22:47,+00:11:02.3,4
72,73, Grégory FONTALBA Stéphan HERMET,Alpine A110,65,00:23:30.9,+00:11:46.2,4
73,74, Grégory DAL ZOTTO Hervé DUBREUIL,Peugeot 208 Rally4,70,00:23:36.8,+00:11:52.1,4
0,1, Sébastien OGIER Vincent LANDAIS,Toyota GR Yaris Rally1 HYBRID,17,00:08:30.7,+00:00:00,5
1,2, Kalle ROVANPERÄ Jonne HALTTUNEN,Toyota GR Yaris Rally1 HYBRID,69,00:08:32,+00:00:01.3,5
2,3, Thierry NEUVILLE Martijn WYDAEGHE,Hyundai i20 N Rally1 HYBRID,11,00:08:35.2,+00:00:04.5,5
3,4, Takamoto KATSUTA Aaron JOHNSTON,Toyota GR Yaris Rally1 HYBRID,18,00:08:37.1,+00:00:06.4,5
4,5, Esapekka LAPPI Janne FERM,Hyundai i20 N Rally1 HYBRID,4,00:08:38.4,+00:00:07.7,5
5,6, Daniel SORDO Candido CARRERA,Hyundai i20 N Rally1 HYBRID,6,00:08:39.5,+00:00:08.8,5
6,7, Ott TÄNAK Martin JÄRVEOJA,Ford Puma Rally1 HYBRID,8,00:08:39.7,+00:00:09,5
7,8, Nikolay GRYAZIN Konstantin ALEKSANDROV,Skoda Fabia RS,24,00:08:52.4,+00:00:21.7,5
8,9, Oliver SOLBERG Elliott EDMONDSON,Skoda Fabia RS,23,00:08:53.3,+00:00:22.6,5
9,10, Stéphane LEFEBVRE Andy MALFOY,Citroen C3,22,00:08:56.6,+00:00:25.9,5
10,11, Yohan ROSSEL Arnaud DUNAND,Citroen C3,21,00:08:56.7,+00:00:26,5
11,12, Pepe LÓPEZ Borja ROZADA,Hyundai i20 N,34,00:08:58.7,+00:00:28,5
12,13, Adrien FOURMAUX Alexandre CORIA,Ford Fiesta MkII,20,00:09:00.5,+00:00:29.8,5
13,14, Erik CAIS Petr TESÍNSKÝ,Skoda Fabia RS,27,00:09:01.6,+00:00:30.9,5
14,15, Grégoire MUNSTER Louis LOUKA,Ford Fiesta MkII,25,00:09:05.2,+00:00:34.5,5
15,16, Christopher INGRAM Craig DREW,Skoda Fabia Evo,28,00:09:06.8,+00:00:36.1,5
16,17, Alejandro CACHÓN Alejandro LÓPEZ,Citroen C3,35,00:09:09.5,+00:00:38.8,5
17,18, Joshua MCERLEAN John ROWAN,Hyundai i20 N,31,00:09:10.7,+00:00:40,5
18,19, William CREIGHTON Liam REGAN,Hyundai i20 N,32,00:09:12,+00:00:41.3,5
19,20, François DELECOUR Sabrina DE CASTELLI,Skoda Fabia RS,37,00:09:13.3,+00:00:42.6,5
20,21, Sean JOHNSTON Alexander KIHURANI,Citroen C3,29,00:09:13.8,+00:00:43.1,5
21,22, Elfyn EVANS Scott MARTIN,Toyota GR Yaris Rally1 HYBRID,33,00:09:14.1,+00:00:43.4,5
22,23, Marco BULACIA Axel CORONADO,Skoda Fabia RS,26,00:09:15.6,+00:00:44.9,5
23,24, Jonathan HIRSCHI Michaël VOLLUZ,Volkswagen Polo GTI,51,00:09:24.4,+00:00:53.7,5
24,25, Matteo GAMBA Nicolò GONELLA,Skoda Fabia Evo,52,00:09:26.1,+00:00:55.4,5
25,26, Mauro MIELE Luca BELTRAME,Skoda Fabia RS,36,00:09:26.6,+00:00:55.9,5
26,27, Alessandro GINO Daniele MICHI,Citroen C3,53,00:09:33.9,+00:01:03.2,5
27,28, Philippe BAFFOUN Charlyne QUARTINI,Citroen C3,54,00:09:38.7,+00:01:08,5
28,29, Johannes KEFERBÖCK Ilka MINOR,Skoda Fabia Evo,39,00:09:39.4,+00:01:08.7,5
29,30, Romain HAUT-LABOURDETTE Fabien TARDITO,Skoda Fabia,58,00:09:40.4,+00:01:09.7,5
30,31, Bruno RIBERI Florian HAUT-LABOURDETTE,Skoda Fabia Evo,59,00:09:41.4,+00:01:10.7,5
31,32, Jourdan SERDERIDIS Frédéric MICLOTTE,Ford Puma Rally1 HYBRID,9,00:09:47.8,+00:01:17.1,5
32,33, Mickaël PRÉVALET Jofrey COURTET,Peugeot 208 Rally4,76,00:09:49.8,+00:01:19.1,5
33,34, Eamonn BOLAND MJ ,Citroen C3,42,00:09:51.2,+00:01:20.5,5
34,35, Luc PISTACHI Laëtitia AUTHIER,Skoda Fabia Evo,57,00:09:52.5,+00:01:21.8,5
35,36, Christian MERLI Marco ZORTEA,Skoda Fabia Evo,49,00:09:52.8,+00:01:22.1,5
36,37, Yanis DESANGLES Nicolas THERON,Skoda Fabia,55,00:09:55.5,+00:01:24.8,5
37,38, Baudouin BAUGÉ Nicolas BLANC,Peugeot 208 Rally4,71,00:09:59.3,+00:01:28.6,5
