,Pos.,Pilote / Co-pilote,Voiture,#,Temps,Écart,ss
66,67, Richard FRAU Stephane MARQUEZ,Alpine A110,63,00:13:39.5,+00:04:12.4,10
67,68, Jérémie MALLARD Alexis MAREST-CECCALDI,Ford Fiesta,72,00:13:53.1,+00:04:26,10
68,69, Jean-Paul PALMERO Mattia PASTORINO,Peugeot 208 Rally4,81,00:13:58.3,+00:04:31.2,10
69,70, Marc DESSI Pamela DESSI,Renault Clio RS Line,86,00:13:59.8,+00:04:32.7,10
70,71, Pierre-Louis LOUBET Nicolas GILSOUL,Ford Puma Rally1 HYBRID,7,00:19:27.1,+00:10:00,10
71,72, Joshua MCERLEAN John ROWAN,Hyundai i20 N,31,00:19:59.5,+00:10:32.4,10
72,73, Jonathan HIRSCHI Michaël VOLLUZ,Volkswagen Polo GTI,51,,+,10
0,1, Kalle ROVANPERÄ Jonne HALTTUNEN,Toyota GR Yaris Rally1 HYBRID,69,00:11:35.7,+00:00:00,11
1,2, Sébastien OGIER Vincent LANDAIS,Toyota GR Yaris Rally1 HYBRID,17,00:11:40.3,+00:00:04.6,11
2,3, Elfyn EVANS Scott MARTIN,Toyota GR Yaris Rally1 HYBRID,33,00:11:40.3,+00:00:04.6,11
3,4, Thierry NEUVILLE Martijn WYDAEGHE,Hyundai i20 N Rally1 HYBRID,11,00:11:41,+00:00:05.3,11
4,5, Ott TÄNAK Martin JÄRVEOJA,Ford Puma Rally1 HYBRID,8,00:11:45.4,+00:00:09.7,11
5,6, Esapekka LAPPI Janne FERM,Hyundai i20 N Rally1 HYBRID,4,00:11:48,+00:00:12.3,11
6,7, Takamoto KATSUTA Aaron JOHNSTON,Toyota GR Yaris Rally1 HYBRID,18,00:11:50,+00:00:14.3,11
7,8, Daniel SORDO Candido CARRERA,Hyundai i20 N Rally1 HYBRID,6,00:11:56.9,+00:00:21.2,11
8,9, Nikolay GRYAZIN Konstantin ALEKSANDROV,Skoda Fabia RS,24,00:12:11.9,+00:00:36.2,11
9,10, Erik CAIS Petr TESÍNSKÝ,Skoda Fabia RS,27,00:12:13.4,+00:00:37.7,11
10,11, Adrien FOURMAUX Alexandre CORIA,Ford Fiesta MkII,20,00:12:17.9,+00:00:42.2,11
11,12, Yohan ROSSEL Arnaud DUNAND,Citroen C3,21,00:12:18.3,+00:00:42.6,11
12,13, Pepe LÓPEZ Borja ROZADA,Hyundai i20 N,34,00:12:18.8,+00:00:43.1,11
13,14, Marco BULACIA Axel CORONADO,Skoda Fabia RS,26,00:12:19.7,+00:00:44,11
14,15, Stéphane LEFEBVRE Andy MALFOY,Citroen C3,22,00:12:28.1,+00:00:52.4,11
15,16, Grégoire MUNSTER Louis LOUKA,Ford Fiesta MkII,25,00:12:33.8,+00:00:58.1,11
16,17, Christopher INGRAM Craig DREW,Skoda Fabia Evo,28,00:12:35.1,+00:00:59.4,11
17,18, Alejandro CACHÓN Alejandro LÓPEZ,Citroen C3,35,00:12:44,+00:01:08.3,11
18,19, François DELECOUR Sabrina DE CASTELLI,Skoda Fabia RS,37,00:12:46.1,+00:01:10.4,11
19,20, Sean JOHNSTON Alexander KIHURANI,Citroen C3,29,00:12:46.5,+00:01:10.8,11
20,21, Mauro MIELE Luca BELTRAME,Skoda Fabia RS,36,00:13:02.2,+00:01:26.5,11
21,22, Matteo GAMBA Nicolò GONELLA,Skoda Fabia Evo,52,00:13:06.4,+00:01:30.7,11
22,23, Olivier BURRI Anderson LEVRATTI,Hyundai i20 N,38,00:13:18.5,+00:01:42.8,11
23,24, Alessandro GINO Daniele MICHI,Citroen C3,53,00:13:22.7,+00:01:47,11
24,25, Christian MERLI Marco ZORTEA,Skoda Fabia Evo,49,00:13:23.2,+00:01:47.5,11
25,26, Bruno RIBERI Florian HAUT-LABOURDETTE,Skoda Fabia Evo,59,00:13:24,+00:01:48.3,11
