Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Munster Grégoi,RC2,5,Acropolis 2023,9/2023,Gravel,Wrc,15,822.2
Virves Robert ,RC2,5,Acropolis 2023,9/2023,Gravel,Wrc,16,824.5
Kajetanowicz K,RC2,5,Acropolis 2023,9/2023,Gravel,Wrc,17,826.7
Fourmaux Adrie,RC2,5,Acropolis 2023,9/2023,Gravel,Wrc,18,829.9
Gill Gaurav - ,RC2,5,Acropolis 2023,9/2023,Gravel,Wrc,19,833.5
Marczyk Mikoła,RC2,5,Acropolis 2023,9/2023,Gravel,Wrc,20,837.4
Athanassoulas ,RC2,5,Acropolis 2023,9/2023,Gravel,Wrc,21,840.6
Cachón Alejand,RC2,5,Acropolis 2023,9/2023,Gravel,Wrc,22,846.4
Prokop Martin ,RC2,5,Acropolis 2023,9/2023,Gravel,Wrc,23,857.4
Villanueva A. ,RC2,5,Acropolis 2023,9/2023,Gravel,Wrc,24,859.1
Pellier Lauren,RC3,5,Acropolis 2023,9/2023,Gravel,Wrc,25,872.7
Domínguez Dieg,RC3,5,Acropolis 2023,9/2023,Gravel,Wrc,26,881.5
Kechagias Gior,RC2,5,Acropolis 2023,9/2023,Gravel,Wrc,27,881.9
Serderidis Jou,RC1,5,Acropolis 2023,9/2023,Gravel,Wrc,28,884.9
Mikkelsen Andr,RC2,5,Acropolis 2023,9/2023,Gravel,Wrc,29,885.9
Rensonnet Tom ,RC3,5,Acropolis 2023,9/2023,Gravel,Wrc,30,897.5
Karellis C. - ,RC2,5,Acropolis 2023,9/2023,Gravel,Wrc,31,903.4
Velanis Vassil,RC2,5,Acropolis 2023,9/2023,Gravel,Wrc,32,903.9
Panagiotis Rou,RC2,5,Acropolis 2023,9/2023,Gravel,Wrc,33,905.3
Kelly Eamonn -,RC3,5,Acropolis 2023,9/2023,Gravel,Wrc,34,905.5
Karanikolas E.,RC3,5,Acropolis 2023,9/2023,Gravel,Wrc,35,905.7
Hoelbling Luca,RC2,5,Acropolis 2023,9/2023,Gravel,Wrc,36,913.4
Anwar Hamza - ,RC3,5,Acropolis 2023,9/2023,Gravel,Wrc,37,915.7
Bruun Sosa Nat,RC3,5,Acropolis 2023,9/2023,Gravel,Wrc,38,916.7
Panteli Petros,RC2,5,Acropolis 2023,9/2023,Gravel,Wrc,39,919.5
Castro Eduardo,RC3,5,Acropolis 2023,9/2023,Gravel,Wrc,40,919.8
Halkias Efthim,RC3,5,Acropolis 2023,9/2023,Gravel,Wrc,41,936.2
Fontana Matteo,RC4,5,Acropolis 2023,9/2023,Gravel,Wrc,42,940.5
Cărăgui Eugen ,RC2,5,Acropolis 2023,9/2023,Gravel,Wrc,43,944.2
Campagnoli Gab,RC2,5,Acropolis 2023,9/2023,Gravel,Wrc,44,946.3
Chatzimarkos P,RC4,5,Acropolis 2023,9/2023,Gravel,Wrc,45,950.7
Blach Roberto ,RC3,5,Acropolis 2023,9/2023,Gravel,Wrc,46,956.5
Lefkaditis Sav,RC4,5,Acropolis 2023,9/2023,Gravel,Wrc,47,969.7
Galerakis Spir,RC3,5,Acropolis 2023,9/2023,Gravel,Wrc,48,974.3
Dolofan Cristi,RC2,5,Acropolis 2023,9/2023,Gravel,Wrc,49,977.4
