,Crew,ss,Group,Group_Pos
24,Villanueva  ,8,RC2,13
25,Serderidis  ,8,RC1,7
26,Borodin  Pet,8,RC3,6
27,Blach  Rober,8,RC2,14
28,Granados  Mi,8,RC2,15
29,Soylu  Uğur ,8,RC2,16
30,Karanikolas ,8,RC3,7
31,Bruun  Natan,8,RC3,8
32,Rensonnet  T,8,RC3,9
33,Dominguez  D,8,RC3,10
34,Al-Wahaibi  ,8,RC2,17
35,Caparó  José,8,RC3,11
36,Kehagias  G.,8,RC2,18
37,Schwarz  Fab,8,RC3,12
38,Halkias  E. ,8,RC3,13
39,Çetinkaya  B,8,RC2,19
40,Dolofan  C. ,8,RC2,20
41,Chatzimarkos,8,RC3,14
42,Peralta  J. ,8,RC2,21
43,Smart  Max /,8,RC3,15
44,Laskowski  H,8,RC3,16
45,Pavlidis  N.,8,RC2,22
46,Joona  Lauri,8,RC2,23
47,Stefanis  Ma,8,RC3,17
48,Theocharopou,8,RC3,18
49,Martínez  Jo,8,RC2,24
50,Fourmaux  Ad,8,RC1,8
51,Martinez  An,8,RC3,19
52,Velanis  V. ,8,RC2,25
53,Vassilakis  ,8,RC2,26
54,Brazzoli  En,8,RC2,27
55,Kalamaras  T,8,RC4,1
56,Lefkaditis  ,8,RC4,2
57,Katsuta  T. ,8,RC1,9
58,Cărăgui  Eug,8,RC2,28
59,Parellis  D.,8,RC5,1
60,Panteli  Pet,8,RC3,20
61,Plagos  Ioan,8,RC4,3
62,Amoutzas  G.,8,RC2,29
63,Papageorgiou,8,RC4,4
64,Campagnoli  ,8,RC3,21
1,Neuville  T.,9,RC1,1
2,Sordo  Dani ,9,RC1,2
3,Ogier  S. / ,9,RC1,3
4,Tänak  Ott /,9,RC1,4
5,Pajari  Sami,9,RC2,1
6,Virves  Robe,9,RC2,2
7,Rossel  Yoha,9,RC2,3
8,Zaldivar  F.,9,RC2,4
9,Kajetanowicz,9,RC2,5
10,McErlean  Jo,9,RC2,6
11,Linnamäe  Ge,9,RC2,7
12,Daprà  Rober,9,RC2,8
13,Evans  Elfyn,9,RC1,5
14,Solans  Jan ,9,RC2,9
15,Roustemis  P,9,RC2,10
16,Jürgenson  R,9,RC3,1
17,Maior  Norbe,9,RC3,2
18,Kremer  Armi,9,RC2,11
19,Munster  G. ,9,RC1,6
20,Fontana  Mat,9,RC3,3
21,Villanueva  ,9,RC2,12
22,Serderidis  ,9,RC1,7
23,Gill  Taylor,9,RC3,4
24,Borodin  Pet,9,RC3,5
25,Blach  Rober,9,RC2,13
26,Soylu  Uğur ,9,RC2,14
27,Granados  Mi,9,RC2,15
28,Türkkan  Ali,9,RC3,6
29,Karanikolas ,9,RC3,7
30,Bruun  Natan,9,RC3,8
31,Rensonnet  T,9,RC3,9
32,Dominguez  D,9,RC3,10
33,Kehagias  G.,9,RC2,16
34,Al-Wahaibi  ,9,RC2,17
35,Schwarz  Fab,9,RC3,11
36,Caparó  José,9,RC3,12
37,Halkias  E. ,9,RC3,13
38,Dolofan  C. ,9,RC2,18
39,Chatzimarkos,9,RC3,14
40,Joona  Lauri,9,RC2,19
41,Smart  Max /,9,RC3,15
42,Peralta  J. ,9,RC2,20
43,Pavlidis  N.,9,RC2,21
44,Fourmaux  Ad,9,RC1,8
45,Stefanis  Ma,9,RC3,16
46,Theocharopou,9,RC3,17
47,Çetinkaya  B,9,RC2,22
