,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
#56,Dettori Giuseppe  - Pisano Carlo Škoda Fabia Rally2 evo,RC2,2:41.8,8:35.0,6:25.3,-,-,-,-,11:18.1,14:22.6,20:56.5,7:43.8,11:11.4,16:29.5,22:31.9,8:42.2,9:41.2,6:20.7,9:32.9,6:57.2 [N]
#56,Dettori Giuseppe  - Pisano Carlo Škoda Fabia Rally2 evo  [SR],RC2,-,-,-,42:51.8 [N],17:30.0 [N],15:48.7 [N],43:16.3 [N],-,-,-,-,-,-,-,-,-,-,-,-
#57,Gamba Matteo  - Gonella Nicolò Škoda Fabia Rally2 evo,RC2,2:35.8,8:20.0,6:31.9,35:48.9,7:30.0 [N],5:51.8 [N],36:38.4,11:22.2,14:33.7,20:57.2,7:46.6,11:08.4,17:06.3,23:46.1,9:10.3,10:02.6,6:25.2,9:44.8,6:57.2 [N]
#58,Tali Nicola  - Frau Massimiliano Škoda Fabia Rally2 evo,RC2,2:38.9,8:22.2,6:31.0,36:45.6,7:30.0 [N],5:51.8 [N],-,11:51.5,14:45.8,21:14.1,7:48.5,11:17.0,16:09.6,22:34.9,8:50.9,9:41.8,6:25.5,9:37.1,6:57.2 [N]
#58,Tali Nicola  - Frau Massimiliano Škoda Fabia Rally2 evo  [SR],RC2,-,-,-,-,-,-,43:16.3 [N],-,-,-,-,-,-,-,-,-,-,-,-
#59,Biolghini Pablo  - Pudda Stefano Škoda Fabia Rally2 evo,RC2,2:38.6,8:55.5,6:37.1,37:28.9,7:30.0 [N],5:51.8 [N],46:25.1,11:44.0,15:35.1,21:31.4,8:06.1,11:36.6,17:36.3,24:07.2,9:23.9,10:18.3,6:33.1,10:04.5,6:57.2 [N]
#6,Sordo Dani  - Carrera Cándido Hyundai i20 N Rally1,RC1 M,2:26.7,7:28.2,5:32.7,34:43.0,7:19.6 [N],5:34.0,32:17.8,10:25.6,13:15.7,18:50.6,6:58.2,10:15.5,13:31.7,19:31.6,7:33.9,9:01.0,6:21.0,-,-
#60,Morato Maurizio  - Dal Maso Andrea Škoda Fabia Rally2 evo,RC2,2:42.8,9:18.9,7:00.5,2:04:26.0,-,-,-,12:21.2,15:48.7,22:47.8,8:53.9,12:08.8,17:41.9,25:09.0,9:45.9,10:34.5,6:33.9,10:26.4,6:57.2 [N]
#60,Morato Maurizio  - Dal Maso Andrea Škoda Fabia Rally2 evo  [SR],RC2,-,-,-,-,17:30.0 [N],15:48.7 [N],43:16.3 [N],-,-,-,-,-,-,-,-,-,-,-,-
#61,Covi Carlo  - Budoia Andrea Škoda Fabia Rally2 evo,RC2,2:52.0,9:08.0 [N],7:22.7,41:52.5,7:30.0 [N],5:51.8 [N],43:07.5,18:35.4,16:54.4,23:18.8,8:37.2,12:40.9,20:24.8,26:00.0,10:17.5,11:10.9,7:16.3,10:53.0,6:57.2 [N]
#63,Türkkan Ali  - Erdener Burak Ford Fiesta Rally3,RC3,2:42.7,8:39.1,11:07.9,37:54.4,7:30.0 [N],5:51.8 [N],-,11:20.9,14:44.1,20:55.2,8:18.2,11:14.0,16:45.1,25:09.1,9:20.7,10:02.3,6:23.6,9:50.9,6:57.2 [N]
#63,Türkkan Ali  - Erdener Burak Ford Fiesta Rally3  [SR],RC3,-,-,-,-,-,-,47:01.5 [N],-,-,-,-,-,-,-,-,-,-,-,-
#64,Kohn Filip  - Woodburn Tom Ford Fiesta Rally3,RC3,2:43.1,8:40.5,28:35.5,36:30.3,7:30.0 [N],5:51.8 [N],37:01.5,11:38.2,14:55.9,-,-,-,-,-,-,10:04.8,6:37.9,9:56.5,6:57.2 [N]
#64,Kohn Filip  - Woodburn Tom Ford Fiesta Rally3  [SR],RC3,-,-,-,-,-,-,-,-,-,30:55.2 [N],17:36.2 [N],21:14.0 [N],26:28.5 [N],33:22.3 [N],18:28.6 [N],-,-,-,-
#65,Korhonen Roope  - Viinikka Anssi Ford Fiesta Rally3,RC3,2:39.9,8:27.4,6:31.0,37:03.7,7:30.0 [N],5:51.8 [N],39:04.0,12:26.3,15:00.2,21:02.0,7:36.2,11:15.0,15:24.0 [N],23:22.3,8:28.6,9:32.9,6:28.7,9:38.8,6:57.2 [N]
#66,Creighton William  - Regan Liam Ford Fiesta Rally3,RC3,2:40.7,8:29.7,6:25.7,37:28.0,7:30.0 [N],5:51.8 [N],39:23.3,11:28.3,14:28.1,21:00.0,7:37.7,11:21.8,18:06.7,21:43.4,8:25.0,9:52.6,6:33.0,9:48.5,6:57.2 [N]
#67,Pellier Laurent  - Bronner Kévin Ford Fiesta Rally3,RC3,2:57.5,8:13.4,6:22.2,38:59.5,7:30.0 [N],5:51.8 [N],42:56.4,11:16.8,14:35.3,20:29.9,7:32.5,11:13.0,15:29.2,-,-,9:53.4,6:18.7,9:29.9,6:57.2 [N]
#67,Pellier Laurent  - Bronner Kévin Ford Fiesta Rally3  [SR],RC3,-,-,-,-,-,-,-,-,-,-,-,-,-,31:43.4 [N],18:25.0 [N],-,-,-,-
#68,Domínguez Diego Jr.  - Peñate R. Ford Fiesta Rally3,RC3,2:40.8,8:20.6,6:24.8,35:27.8,7:30.0 [N],5:51.8 [N],42:28.4,11:24.7,14:35.3,20:43.3,7:38.5,11:11.5,17:04.8,23:09.3,9:47.1,9:52.7,6:20.2,9:28.6,6:57.2 [N]
#69,Rovanperä Kalle  - Halttunen J. Toyota GR Yaris Rally1,RC1 M,2:26.1,7:27.0,5:36.7,32:14.1,7:19.2,5:36.4,31:55.4,10:02.9,12:51.5,19:00.0,6:56.9,10:02.0,12:57.5,20:23.8,7:38.1,8:59.5,5:48.5,8:46.1,5:55.0
#7,Loubet Pierre-Louis  - Gilsoul N. Ford Puma Rally1,RC1 M,2:27.0,7:23.9,5:34.1,31:51.4,7:15.3 [N],5:33.9,-,-,-,-,-,-,-,-,-,-,-,-,-
#7,Loubet Pierre-Louis  - Gilsoul N. Ford Puma Rally1  [SR],RC1 M,-,-,-,-,-,-,41:55.4 [N],-,-,-,-,-,-,-,-,-,-,-,-
#70,Rensonnet Tom  - Dumont Loïc Ford Fiesta Rally3,RC3,2:42.9,8:41.1,6:35.0,39:59.9,7:30.0 [N],5:51.8 [N],43:24.2,11:39.4,15:19.7,21:24.8,7:55.3,11:34.2,17:30.7,-,-,10:12.4,6:38.5,10:04.0,6:57.2 [N]
#70,Rensonnet Tom  - Dumont Loïc Ford Fiesta Rally3  [SR],RC3,-,-,-,-,-,-,-,-,-,-,-,-,-,31:43.4 [N],18:25.0 [N],-,-,-,-
#71,Blach Roberto Jr.  - Barreiro M. Ford Fiesta Rally3,RC3,2:48.1,9:20.7,6:56.0,37:22.7,7:30.0 [N],5:51.8 [N],-,12:00.4,15:34.7,21:59.6,8:05.1,11:50.6,17:41.7,24:26.7,9:36.7,10:17.5,6:45.5,10:10.4,6:57.2 [N]
#71,Blach Roberto Jr.  - Barreiro M. Ford Fiesta Rally3  [SR],RC3,-,-,-,-,-,-,48:59.7 [N],-,-,-,-,-,-,-,-,-,-,-,-
#72,Kelly Eamonn  - Mohan Conor Ford Fiesta Rally3,RC3,2:47.3,8:35.1,6:35.8,-,-,-,-,11:35.0,15:03.1,21:05.4,7:45.4,11:26.0,16:38.7,22:34.3,8:42.5,9:59.3,6:29.5,9:43.3,6:57.2 [N]
#72,Kelly Eamonn  - Mohan Conor Ford Fiesta Rally3  [SR],RC3,-,-,-,45:27.8 [N],17:30.0 [N],15:51.8 [N],48:59.7 [N],-,-,-,-,-,-,-,-,-,-,-,-
#73,Hernández R.  - Pérez Fernández A. Ford Fiesta Rally3,RC3,2:41.2,8:35.6,6:17.2,47:02.7,7:30.0 [N],5:51.8 [N],38:59.7,11:52.9,14:37.2,20:40.8,-,-,-,-,-,9:40.2,6:11.7,9:27.9,6:57.2 [N]
#73,Hernández R.  - Pérez Fernández A. Ford Fiesta Rally3  [SR],RC3,-,-,-,-,-,-,-,-,-,-,17:32.5 [N],21:11.5 [N],25:29.2 [N],31:43.4 [N],18:25.0 [N],-,-,-,-
#74,Anwar Hamza  - Din Adnan Ford Fiesta Rally3,RC3,2:54.0,-,-,-,-,-,-,12:13.8,16:09.4,22:18.9,8:08.3,11:59.1,18:06.2,24:48.9,9:25.6,10:17.9,6:39.3,10:04.1,6:57.2 [N]
#74,Anwar Hamza  - Din Adnan Ford Fiesta Rally3  [SR],RC3,-,18:13.4 [N],16:17.2 [N],45:27.8 [N],17:30.0 [N],15:51.8 [N],48:59.7 [N],-,-,-,-,-,-,-,-,-,-,-,-
#75,László Zoltán  - Zsiros Gábor Škoda Fabia Rally2 evo,RC2,2:45.0 [N],9:21.0 [N],7:05.0,56:37.2,7:30.0 [N],5:51.8 [N],52:05.0,12:15.8,16:09.7,22:45.8,8:33.9,12:41.6,19:34.2,25:57.8,10:20.4,13:26.8,6:50.7,10:34.4,6:57.2 [N]
#76,Marrone Francesco  - Fresu F. Peugeot 208 T16,RC2,2:52.0 [N],9:42.0,6:57.3,41:23.1,7:30.0 [N],5:51.8 [N],41:11.2,12:19.5,15:39.6,40:47.6,-,-,-,-,-,10:45.7,-,-,-
#76,Marrone Francesco  - Fresu F. Peugeot 208 T16  [SR],RC2,-,-,-,-,-,-,-,-,-,-,18:04.4 [N],21:45.1 [N],27:32.0 [N],33:41.8 [N],19:30.8 [N],-,-,-,-
#77,Pozzo Giuseppe  - Cottu Pier Paolo Škoda Fabia Rally2 evo,RC2,2:57.5 [N],9:11.3,7:00.7,40:38.1,7:30.0 [N],5:51.8 [N],41:53.4,13:41.6,16:07.8,23:03.6,-,-,-,-,-,10:57.9,6:44.8,10:44.5,6:57.2 [N]
#77,Pozzo Giuseppe  - Cottu Pier Paolo Škoda Fabia Rally2 evo  [SR],RC2,-,-,-,-,-,-,-,-,-,-,18:04.4 [N],21:45.1 [N],27:32.0 [N],33:41.8 [N],19:30.8 [N],-,-,-,-
#78,Bendotti Gianpietro  - Vaerini G. Škoda Fabia Rally2 evo,RC2,2:52.0 [N],8:50.4,6:44.7,39:05.5,7:30.0 [N],5:51.8 [N],39:24.1,12:05.4,15:36.6,21:19.4,8:04.4,11:45.1,17:32.0,23:41.8,9:30.8,10:28.9,6:28.0,10:15.0,6:57.2 [N]
#79,Schwarz Fabio  - Ettel Bernhard Ford Fiesta Rally3,RC3,2:45.0 [N],8:28.0 [N],6:31.7,35:56.7,7:30.0 [N],5:51.8 [N],-,13:47.3,17:44.5,21:14.7,17:32.5 [N],21:11.5,25:29.2 [N],31:43.4 [N],18:25.0 [N],9:35.0,6:31.7,9:33.6,6:57.2 [N]
#79,Schwarz Fabio  - Ettel Bernhard Ford Fiesta Rally3  [SR],RC3,-,-,-,-,-,-,47:01.5 [N],-,-,-,-,-,-,-,-,-,-,-,-
#8,Tänak Ott  - Järveoja Martin Ford Puma Rally1,RC1 M,2:25.1,7:29.1,5:34.7,32:08.8,7:19.1,5:33.5,32:28.3,10:11.8,13:29.2,-,-,-,-,-,-,8:37.7,5:37.1,8:47.0,5:59.7
#8,Tänak Ott  - Järveoja Martin Ford Puma Rally1  [SR],RC1 M,-,-,-,-,-,-,-,-,-,28:45.7 [N],16:53.2 [N],19:52.3 [N],22:53.8 [N],29:31.6 [N],17:23.1 [N],-,-,-,-
#80,Fontana Matteo  - Arnaboldi A. Peugeot 208 Rally4,RC4,2:45.0 [N],9:14.1,7:01.3,39:24.7,7:30.0 [N],5:51.8 [N],-,11:59.8,15:37.6,22:32.2,8:27.5,11:56.6,18:40.2,24:55.7,9:41.0,10:21.3,6:54.3,10:07.7,6:57.2 [N]
#80,Fontana Matteo  - Arnaboldi A. Peugeot 208 Rally4  [SR],RC4,-,-,-,-,-,-,55:54.3 [N],-,-,-,-,-,-,-,-,-,-,-,-
#81,Marrone Stefano  - Mele Claudio Peugeot 208 Rally4,RC4,2:52.0 [N],9:29.6,7:31.3,-,-,-,-,12:38.9,16:24.1,23:39.9,8:40.9,12:45.9,19:55.8,27:44.5,10:56.7,10:33.9,7:07.0,10:35.7,6:57.2 [N]
#81,Marrone Stefano  - Mele Claudio Peugeot 208 Rally4  [SR],RC4,-,-,-,49:24.7 [N],17:30.0 [N],15:51.8 [N],55:54.3 [N],-,-,-,-,-,-,-,-,-,-,-,-
