Pos.,No,Crew,Vehicle,GR,Cl,infos,time,ss
11,113,Vassilopoulos Petros Stathakos Dimitris,Ford Escort MK1,2,C3,22:49.35  59.91 km/h,22:49.35,3
12,117,Kotsopoulos Antonis Kollias Ioannis,Volkswagen Golf II GTi,4,E3,23:13.89  58.86 km/h,23:13.89,3
13,118,Kansos Patroklos Grigoropoulos Andreas,Volkswagen Golf II GTi 16V,4,E3,24:25.59  55.98 km/h,24:25.59,3
14,119,Antonopoulos Pantelis Kallitsi Maria,Ford Escort RS 2000 MKII,3,D3,24:29.16  55.84 km/h,24:29.16,3
30,36,Andrikopoulos Panagiotis Andrikopoulos Filippos,Peugeot 206,C5,A6,24:47.92  55.14 km'h,24:47.92,3
31,35,Sotiropoulos Nikolaos Moukas Evangelos,Nissan Micra K11,C6,A5,29:05.33  47.01 krrx'h,29:05.33,3
15,115,Dodos Giorgos Intzoglou Nikos,Nissan Pulsar,4,E2,32:46.87  41.71 km/h,32:46.87,3
1,1,Tsouloftas Alexandros Elia Stelios,Volkswagen Polo GTI R5,C1,R5R2,10:42.51  104.33 km/h,10:42.51,4
2,3,Papadimitriou Ioannis Petropoulos Nikolaos,Škoda Fabia Rally2 evo,C1,R5R2,11:11.27  99.86 km/h,11:11.27,4
3,7,Kirkos Panagiotis Polizois Giorgos,Mitsubishi Lancer Evo IX,C2,N4,11:37.29  96.13 km/h,11:37.29,4
4,5,Panteli Petros Laos Pambos,Citroën DS3 R5,C1,R5R2,11:49.43  94.49 km/h,11:49.43,4
5,12,Chatzimarkos Paschalis Tsaousoglou Marios,Peugeot 208 Rally4,C5,R4B,12:04.74  92.49 km/h,12:04.74,4
6,11,Lefkaditis Savvas Akratos Evangelos,Peugeot 208 Rally4,C5,R4B,12:09.16  91.93 km/h,12:09.16,4
7,8,"""JJ"" Stefanis Konstantinos",Škoda Fabia R5,C1,R5R2,12:26.24  89.83 km/h,12:26.24,4
8,6,Nicolaou Phivos Zakou Savvas,Mitsubishi Lancer Evo IX,C2,N4,12:47.27  87.36 km/h,12:47.27,4
9,19,Zygogiannis Konstantinos Tsellos Nikolaos,Mitsubishi Lancer Evo IX,C2,N4,13:22.85  83.49 km/h,13:22.85,4
10,28,Giotis Ioannis Farmakis Chrístos,Hyundai Accent,C4,E10,13:31.66  82.59 km/h,13:31.66,4
11,27,Milonas Konstantinos Paraperas Nikolaos,Toyota Corolla FX AE101,C4,E10,13:37.78  81.97 km/h,13:37.78,4
12,4,Serderidis Jourdan Malfoy Andy,Škoda Fabia Rally2 evo,C1,R5R2,13:39.39  81.81 km/h,13:39.39,4
13,15,Davaris Nikos Makrinos Manolis,Mitsubishi Lancer Evo IX,C2,N4,13:56.81  80.10 km/h,13:56.81,4
14,16,Dimopoulos Antonis Skaltsas Efthimios,Toyota Starlet KP60,C4,E10,13:59.06  79.89 km/h,13:59.06,4
15,24,Rigas Giorgos Georgiadis Ioannis,Ford Escort MK2,C3,E11,13:59.16  79.88 km/h,13:59.16,4
16,34,Panagiotopoulos Manolis Dikopoulou Chrissoula,Toyota Yaris,C6,A5,14:03.46  79.47 km/h,14:03.46,4
17,32,Manouskos Elias Manouskos Nikolaos,Toyota Yaris,C6,A5,14:05.20  79.31 km/h,14:05.20,4
18,33,Stavropoulos Dimitris Nikolakopoulos Ioannis,Toyota Yaris,C6,A5,14:07.20  79.12 km/h,14:07.20,4
19,9,Vassilakis George Krawszik Tom,Ford Fiesta R5,C1,R5R2,14:15.07  78.39 km/h,14:15.07,4
20,25,Chatzigakis Giorgos Tolias Ioannis,Ford Escort MK2,C3,E11,14:24.15  77.57 km/h,14:24.15,4
21,30,Kalamaras Teo Psaraki Vicky,Renault Clio Ragnotti,C3,A7,14:33.01  76.78 km/h,14:33.01,4
22,20,Yiangou Yiangos Christodoulakis Andreas,Subaru Impreza STi N12,C2,N4,14:33.14  76.77 km/h,14:33.14,4
23,26,Yfantis Vassileios Mountzouris Aris,Ford Escort RS 2000 MKII,C3,E11,14:35.24  76.59 km/h,14:35.24,4
24,23,Halkias Efthimios Komnos Nikos,Nissan Violet,C3,E11,14:36.25  76.50 km/h,14:36.25,4
25,2,Kehagias Giorgos Kouzionis Christos,Škoda Fabia Rally2 evo,C1,R5R2,15:09.11  73.73 km/h,15:09.11,4
26,22,Delaportas Giorgos Panaritis Evangelos,Ford Fiesta Rally4,C5,R4B,16:37.70  67.19 km/h,16:37.70,4
27,36,Andrikopoulos Panagiotis Andrikopoulos Filippos,Peugeot 206,C5,A6,17:37.83  63.37 km/h,17:37.83,4
28,37,Giokaris Stefanos Defkalion Mourtzoukos Giorgos,Toyota Starlet EP91,C6,A5,18:31.59  60.30 km/h,18:31.59,4
1,1,Tsouloftas Alexandros Elia Stelios,Volkswagen Polo GTI R5,C1,R5R2,16:10.14  84.57 km/h,16:10.14,5
2,2,Kehagias Giorgos Kouzionis Christos,Škoda Fabia Rally2 evo,C1,R5R2,16:27.64  83.07 km/h,16:27.64,5
3,3,Papadimitriou Ioannis Petropoulos Nikolaos,Škoda Fabia Rally2 evo,C1,R5R2,16:30.62  82.82 km/h,16:30.62,5
4,7,Kirkos Panagiotis Polizois Giorgos,Mitsubishi Lancer Evo IX,C2,N4,16:54.02  80.91 km/h,16:54.02,5
5,4,Serderidis Jourdan Malfoy Andy,Škoda Fabia Rally2 evo,C1,R5R2,17:02.52  80.24 km/h,17:02.52,5
6,5,Panteli Petros Laos Pambos,Citroën DS3 R5,C1,R5R2,17:06.40  79.93 km/h,17:06.40,5
7,8,"""JJ"" Stefanis Konstantinos",Škoda Fabia R5,C1,R5R2,17:55.36  76.29 km/h,17:55.36,5
8,6,Nicolaou Phivos Zakou Savvas,Mitsubishi Lancer Evo IX,C2,N4,18:03.18  75.74 km/h,18:03.18,5
9,12,Chatzimarkos Paschalis Tsaousoglou Marios,Peugeot 208 Rally4,C5,R4B,18:08.19  75.39 km/h,18:08.19,5
10,16,Dimopoulos Antonis Skaltsas Efthimios,Toyota Starlet KP60,C4,E10,18:30.57  73.88 km/h,18:30.57,5
11,19,Zygogiannis Konstantinos Tsellos Nikolaos,Mitsubishi Lancer Evo IX,C2,N4,18:36.76  73.47 km/h,18:36.76,5
12,27,Milonas Konstantinos Paraperas Nikolaos,Toyota Corolla FX AE101,C4,E10,19:25.32  70.40 km/h,19:25.32,5
13,15,Davaris Nikos Makrinos Manolis,Mitsubishi Lancer Evo IX,C2,N4,19:30.21  70.11 km/h,19:30.21,5
14,32,Manouskos Elias Manouskos Nikolaos,Toyota Yaris,C6,A5,19:45.78  69.19 km/h,19:45.78,5
15,25,Chatzigakis Giorgos Tolias Ioannis,Ford Escort MK2,C3,E11,19:47.71  69.08 km/h,19:47.71,5
16,28,Giotis Ioannis Farmakis Chrístos,Hyundai Accent,C4,E10,20:00.00  68.37 km/h,20:00.00,5
17,34,Panagiotopoulos Manolis Dikopoulou Chrissoula,Toyota Yaris,C6,A5,20:01.82  68.27 km/h,20:01.82,5
18,26,Yfantis Vassileios Mountzouris Aris,Ford Escort RS 2000 MKII,C3,E11,20:02.21  68.24 km/h,20:02.21,5
19,33,Stavropoulos Dimitris Nikolakopoulos Ioannis,Toyota Yaris,C6,A5,20:09.73  67.82 km/h,20:09.73,5
20,30,Kalamaras Teo Psaraki Vicky,Renault Clio Ragnotti,C3,A7,20:17.51  67.39 km/h,20:17.51,5
21,24,Rigas Giorgos Georgiadis Ioannis,Ford Escort MK2,C3,E11,20:20.97  67.20 km/h,20:20.97,5
22,22,Delaportas Giorgos Panaritis Evangelos,Ford Fiesta Rally4,C5,R4B,20:27.75  66.82 km/h,20:27.75,5
23,20,Yiangou Yiangos Christodoulakis Andreas,Subaru Impreza STi N12,C2,N4,21:27.92  63.70 km/h,21:27.92,5
24,36,Andrikopoulos Panagiotis Andrikopoulos Filippos,Peugeot 206,C5,A6,23:32.87  58.07 km/h,23:32.87,5
25,9,Vassilakis George Krawszik Tom,Ford Fiesta R5,C1,R5R2,25:25.70  53.77 km/h,25:25.70,5
26,37,Giokaris Stefanos Defkalion Mourtzoukos Giorgos,Toyota Starlet EP91,C6,A5,26:02.13  52.52 km/h,26:02.13,5
27,23,Halkias Efthimios Komnos Nikos,Nissan Violet,C3,E11,27:15.75  50.16 km/h,27:15.75,5
