,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
#63,Domin Mateusz  - Komar Kevin Ford Fiesta Rally4  [SR],RC4 4,-,21:18.7 [N],17:37.4 [N],19:21.7 [N],21:21.2 [N],17:39.1 [N],19:27.0 [N],12:00.1 [N],-,-,-,-,-,-,-,-
#7,Franceschi M.  - Escartefigue J. Škoda Fabia Rally2 evo,RC2,1:50.0,10:07.8,6:58.1,8:27.5,10:05.5,6:51.1,8:21.8,1:49.8,5:18.8,6:38.2,5:30.2,3:34.0,5:19.7,6:33.4,3:36.1,5:25.5
#71,Kotarba Łukasz  - Kotarba Tomasz Citroën C3 Rally2,2,1:52.1,-,-,-,-,-,-,-,5:55.7,7:44.4,5:57.8,3:47.0,6:00.0,7:09.2,3:50.8,-
#71,Kotarba Łukasz  - Kotarba Tomasz Citroën C3 Rally2  [SR],2,-,19:51.9 [N],16:50.4 [N],18:18.9 [N],19:51.8 [N],16:46.7 [N],18:16.9 [N],11:49.3 [N],-,-,-,-,-,-,-,-
#72,Ociepa Tomasz  - Kuśnierz Michał Škoda Fabia Rally2 evo,2,1:56.3,12:08.3,8:08.6,10:06.5,12:30.3,8:11.7,10:13.0,1:55.0,6:11.5,7:50.7,6:20.5,4:26.6,6:30.7,7:56.3,4:22.5,-
#73,Krotoszyński Piotr  - Martynek M. Ford Fiesta Rally3,3,1:55.0,11:44.6,7:50.5,9:59.6,11:48.7,7:54.8,9:58.1,1:54.1,6:21.6,7:52.0,6:24.5,4:26.0,6:41.8,7:54.6,4:42.5,-
#74,Roefler Marek  - Bała Marek Ford Fiesta Rally3,3,1:57.6,11:28.7,7:48.1,9:36.2,11:40.1,7:48.3,9:50.7,1:59.7,6:15.9,7:50.1,6:23.9,4:09.6,7:01.0,7:59.2,4:23.1,-
#75,Kowal Marcin  - Lenkowski S. Ford Fiesta Rally3,3,2:01.8,11:50.8,-,-,-,-,-,-,6:23.2,7:57.3,6:27.3,4:13.4,6:35.4,7:56.1,4:18.6,-
#75,Kowal Marcin  - Lenkowski S. Ford Fiesta Rally3  [SR],3,-,-,17:28.5 [N],19:07.8 [N],21:13.0 [N],17:36.8 [N],19:26.7 [N],11:52.4 [N],-,-,-,-,-,-,-,-
#76,Abramowski Wiktor  - Poradzisz M. Ford Fiesta Rally3,3,1:57.2,12:05.9,8:14.9,10:15.4,12:34.5,8:20.8,10:25.1,-,6:22.8,7:56.5,6:21.7,4:13.8,6:35.7,7:53.9,4:21.4,-
#76,Abramowski Wiktor  - Poradzisz M. Ford Fiesta Rally3  [SR],3,-,-,-,-,-,-,-,11:52.4 [N],-,-,-,-,-,-,-,-
#77,Ćwikliński Piotr  - Pryczek M. Subaru Impreza STi N10,NAT2,2:10.3,13:14.9,8:39.3,11:08.0,14:01.0,9:03.8,11:01.1,2:03.9,7:17.0,10:25.3,8:55.0,4:38.5,9:26.9,10:55.6,6:18.5,-
#78,Musiał Wojciech  - Jermakow W. Subaru Impreza STi R4,NAT2,2:06.5,12:42.5,8:30.9,10:34.6,12:56.8,8:25.0,10:43.5,2:04.3,6:35.4,-,-,-,-,-,-,-
#79,Predko Gracjan  - Jurgała Michał Peugeot 208 Rally4,4,1:58.6,11:42.9,7:56.0,9:52.1,12:13.7,7:53.0,10:00.7,1:59.6,6:12.2,7:36.8,6:21.9,4:08.7,6:44.2,7:38.4,4:22.5,-
#8,Sesks Mārtiņš  - Francis R. Škoda Fabia RS Rally2,RC2 2,1:52.0,9:51.9,6:50.5,8:18.9,9:51.8,6:46.7,8:16.9,1:49.4,5:12.8,6:29.2,5:25.3,3:28.7,5:17.1,6:27.9,3:32.7,5:26.0
#80,Kowalczyk Hubert  - Hryniuk J. Peugeot 208 Rally4,4,2:02.6,12:33.5,8:27.6,10:13.1,12:28.2,8:24.2,10:32.3,2:01.9,6:55.7,8:04.6,6:40.0,4:20.0,6:43.8,7:53.6,4:23.5,-
#81,Pindel Filip  - Pietruszka K. Peugeot 208 Rally4,4,2:07.3,12:10.0,8:13.8,10:11.8,12:39.4,8:11.5,10:22.6,2:03.3,6:39.6,8:01.8,6:39.4,4:27.5,6:52.0,8:04.5,4:31.2,-
#82,Długosz Artur  - Majewski Michał Peugeot 208 Rally4,4,2:02.8,11:47.6,7:58.2,9:56.7,12:07.2,8:04.5,10:15.1,2:03.3,6:17.0,9:20.0,6:28.5,4:29.5,6:45.0,7:57.8,4:36.9,-
#83,Gazda Błażej  - Mikuliszyn M. Renault Clio Rally4,4,2:05.3,12:32.0,8:19.7,10:25.4,12:43.3,8:13.4,10:25.6,2:04.1,6:30.5,8:07.0,6:42.4,4:20.5,6:42.9,8:03.0,4:25.2,-
#84,Nazaruk K.  - Kędzierski A. Peugeot 208 R2,4R2,2:05.9,12:47.6,-,-,-,-,-,-,6:53.4,8:19.3,7:05.1,4:37.2,7:26.0,8:36.5,4:47.0,-
#84,Nazaruk K.  - Kędzierski A. Peugeot 208 R2  [SR],4R2,-,-,18:22.5 [N],20:38.3 [N],22:52.4 [N],18:19.4 [N],20:42.8 [N],12:04.1 [N],-,-,-,-,-,-,-,-
#85,Geradzhiev G.  - Gadzhev G. Ford Fiesta Rally4,4,2:04.6,12:35.7,8:22.2,10:23.4,12:30.5,8:11.9,10:54.1,2:03.1,6:33.6,8:12.8,6:41.6,4:26.5,6:58.4,8:15.3,4:42.9,-
#86,Bieńko Tadeusz  - Brzeziński J. Peugeot 208 R2,4R2,2:07.5,12:40.9,8:22.5,10:38.3,12:52.4,8:19.4,10:42.8,2:04.1,6:50.6,8:26.4,6:56.9,4:39.4,7:29.7,8:17.0,4:24.5,-
#87,Michalski Jacek  - Wach Sebastian Fiat Grande Punto R3D,NAT3,2:29.7,13:23.3,8:54.0,11:16.9,20:45.4,9:01.0,11:45.7,2:10.7,7:18.7,8:41.3,7:11.6,4:49.3,9:42.6,20:05.6,6:34.1,-
#88,Jakubowiak Damian  - Kempa M. BMW 330i E46,NAT3,-,-,-,-,-,-,-,-,7:23.6,8:58.7,7:17.5,4:48.4,7:48.9,9:03.0,4:59.2,-
#88,Jakubowiak Damian  - Kempa M. BMW 330i E46  [SR],NAT3,12:29.7 [N],13:34.0,8:50.6,11:12.4,14:04.5,8:59.4,11:31.0,2:10.6,-,-,-,-,-,-,-,-
#89,Janowski Sergiusz  - Grzenia K. Citroën C2 R2,NAT4,2:10.3,12:37.7,8:32.0,10:28.5,12:51.3,8:31.5,10:38.8,2:09.9,6:58.1,8:32.9,7:01.3,4:38.5,7:08.2,8:12.2,4:37.9,-
#9,Nucita Andrea  - Fenoli Manuel Hyundai i20 N Rally2,RC2,1:50.1,10:28.7,7:06.9,-,-,-,-,-,-,-,-,-,-,-,-,-
#90,Kalitowicz A.  - Wisławski M. Toyota Celica GT-Four (ST205),Historic,2:20.6,14:27.6,9:46.0,11:45.6,14:34.5,9:21.5,11:50.8,2:18.4,7:32.0,9:10.6,7:37.6,5:10.1,8:26.2,9:44.2,5:28.9,-
#91,Latos Oliwier  - Latos Paweł Honda Civic Type-R EP3,HR3,2:14.6,13:46.9,8:58.5,11:13.6,15:45.6,9:28.3,12:12.6,2:11.5,7:33.4,8:37.2,7:27.1,4:50.4,8:52.3,16:27.4,7:09.4,-
